study,endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
Gorostiaga 1991,Body Mass,Healthy,< 30 y,8,5 - 10 weeks,0.25,< 0.5,Cycling,-2.7,0.3
Gorostiaga 1991,VO2max,Healthy,< 30 y,8,5 - 10 weeks,0.25,< 0.5,Cycling,5.9,2.7
Granata 2015,Body Mass,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,-0.2,-0.7
Granata 2015,Body Mass,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.3,-0.7
Grieco 2013,BMI,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.1,-0.1
Grieco 2013,Body Fat,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,1.6,-0.7
Grieco 2013,Body Mass,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.5,-0.5
Grieco 2013,Fasting Glucose,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,-0.2,0
Grieco 2013,Fasting Insulin,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,5.2,19.1
Grieco 2013,HDL,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,-0.1,0
Grieco 2013,HOMA-IR,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.13,0.53
Grieco 2013,Total Cholesterol,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,-0.3,0.1
Grieco 2013,VO2max,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,5.7,2.2
Helgerud 2007,Body Mass,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,-1.5,-2.3
Helgerud 2007,Body Mass,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,-0.8,-2.3
Helgerud 2007,HDL,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,-0.06,0.05
Helgerud 2007,LDL,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,0,-0.09
Helgerud 2007,Total Cholesterol,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,0.15,0.132
Helgerud 2007,Triglycerides,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,-0.1,-0.14
Helgerud 2007,VO2max,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,4.9,1
Helgerud 2007,VO2max,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,3.9,1
Henriksson 1976,VO2max,Healthy,< 30 y,7.5,5 - 10 weeks,1,> 0.5,Cycling,1.73,5.38
Honkala 2017 (Healthy),BMI,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,0
Honkala 2017 (Healthy),Body Fat,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1,-0.8
Honkala 2017 (Healthy),Body Mass,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.5,0
Honkala 2017 (Healthy),Diastolic Blood Pressure,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0,1
Honkala 2017 (Healthy),Fasting Glucose,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.4,0.2
Honkala 2017 (Healthy),Fasting Insulin,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,1,1.3
Honkala 2017 (Healthy),HbA1c,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.3,-3.2
Honkala 2017 (Healthy),HDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1
Honkala 2017 (Healthy),LDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.6,-0.2
Honkala 2017 (Healthy),Systolic Blood Pressure,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,1,3
Honkala 2017 (Healthy),Total Cholesterol,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.7,-0.3
Honkala 2017 (Healthy),Triglycerides,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.1,-0.2
Honkala 2017 (Healthy),VO2max,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,2,1
Honkala 2017 (T2D),BMI,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.1,0
Honkala 2017 (T2D),Body Fat,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.1,-0.5
Honkala 2017 (T2D),Body Mass,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1
Honkala 2017 (T2D),Diastolic Blood Pressure,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-6,-5
Honkala 2017 (T2D),Fasting Glucose,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.3,0.2
Honkala 2017 (T2D),Fasting Insulin,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.9,-1
Honkala 2017 (T2D),HbA1c,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-2.2,-1.7
Honkala 2017 (T2D),HDL,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1
Honkala 2017 (T2D),LDL,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.2
Honkala 2017 (T2D),Systolic Blood Pressure,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-2,-9
Honkala 2017 (T2D),Total Cholesterol,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.5,-0.2
Honkala 2017 (T2D),Triglycerides,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.2
Honkala 2017 (T2D),VO2max,T2D,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,1.9,-0.9
Hovanloo 2013,C-reactive Protein,Healthy,< 30 y,2,< 5 weeks,0.5,< 0.5,Cycling,-0.03183,-0.16
Hovanloo 2013,HOMA-IR,Healthy,< 30 y,2,< 5 weeks,0.5,< 0.5,Cycling,-0.53,0.01
Jo 2020,BMI,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-0.3,-0.5
Jo 2020,Body Mass,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-0.8,-1.1
Jo 2020,Diastolic Blood Pressure,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-7.1,-7.8
Jo 2020,Fasting Glucose,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-0.7,-0.8
Jo 2020,Flow-mediated Dilation,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,6.1,2.9
Jo 2020,HDL,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,1.4,3.1
Jo 2020,LDL,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-5.9,-3.2
Jo 2020,Systolic Blood Pressure,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-9.4,-10.6
Jo 2020,Total Cholesterol,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-25,-7
Jo 2020,Triglycerides,Metabolic Syndrome,> 50 y,8,5 - 10 weeks,0.53,> 0.5,Running,-30.6,-15.4
Keating 2014,Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-0.5,-1
Keating 2014,Body Mass,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0.2,-0.8
Keating 2014,C-reactive Protein,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0.2,-1.1
Keating 2014,Diastolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-2.9,-3.5
Keating 2014,Fasting Glucose,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-0.1,0.1
Keating 2014,Fasting Insulin,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-0.6,-0.7
Keating 2014,HDL,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0,0
Keating 2014,LDL,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0,0.3
Keating 2014,Systolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,-5.6,-4.3
Keating 2014,Total Cholesterol,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0,0.2
Keating 2014,Triglycerides,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,0,-0.1
Keating 2014,VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.22727273,< 0.5,Cycling,5.1,4.3
Keteyian 2014,Diastolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.82820513,> 0.5,Running,-7,0
Keteyian 2014,Systolic Blood Pressure,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.82820513,> 0.5,Running,-9,2
Keteyian 2014,VO2max,Cardiac Rehabilitation,> 50 y,10,5 - 10 weeks,0.82820513,> 0.5,Running,3.6,1.7
Kim 2015,C-reactive Protein,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,-1.14,-1.72
Kim 2015,HDL,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,0,-0.07
Kim 2015,LDL,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,-46.57,-30.64
Kim 2015,Total Cholesterol,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,-45.67,-26.752
Kim 2015,Triglycerides,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,4.5,19.79
Kim 2015,VO2max,Cardiac Rehabilitation,> 50 y,6,5 - 10 weeks,0.78571429,> 0.5,Running,6.46,2.47
Klonizakis 2014,Body Mass,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,-0.3,0
Klonizakis 2014,Diastolic Blood Pressure,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,-2,-3
Klonizakis 2014,Flow-mediated Dilation,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,-1.6,-1.9
Klonizakis 2014,Systolic Blood Pressure,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,-7,-2
Klonizakis 2014,VO2max,Healthy,> 50 y,2,< 5 weeks,0,< 0.5,Cycling,2.2,1.7
Lira 2017,Fasting Glucose,Healthy,< 30 y,5,< 5 weeks,1,> 0.5,Running,2.43,-0.98
Lunt 2014,BMI,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,0,-0.1
Lunt 2014,BMI,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-0.1,-0.1
Lunt 2014,Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-0.5,-0.5
Lunt 2014,Body Fat,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-1.1,-0.5
Lunt 2014,Diastolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-3.4,-1.9
Lunt 2014,Diastolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-5.4,-1.9
Lunt 2014,HDL,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-1,-2
Lunt 2014,HDL,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-2,-2
Lunt 2014,HOMA-IR,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,0.01646841,-0.1339599
Lunt 2014,HOMA-IR,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-0.0215641,-0.1339599
Lunt 2014,Systolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-2.9,-5.2
Lunt 2014,Systolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-6.5,-5.2
Lunt 2014,Total Cholesterol,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-1,-16
Lunt 2014,Total Cholesterol,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-7,-16
Lunt 2014,Triglycerides,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-1,-6
Lunt 2014,Triglycerides,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,8,-6
Lunt 2014,VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,1.4,-1.3
Lunt 2014,VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,0.2,-1.3
Macpherson 2011,Body Fat,Healthy,< 30 y,6,5 - 10 weeks,0.6,> 0.5,Cycling,-1.8,-1.1
Macpherson 2011,Body Mass,Healthy,< 30 y,6,5 - 10 weeks,0.6,> 0.5,Cycling,-1.1,-0.3
Macpherson 2011,VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.6,> 0.5,Cycling,5.4,5.5
Madssen 2014,BMI,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,0.1,0
Madssen 2014,C-reactive Protein,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,-1.25,-0.13
Madssen 2014,Fasting Glucose,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,-0.15,0.05
Madssen 2014,Flow-mediated Dilation,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,3.35,5.1
Madssen 2014,HbA1c,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,0,-0.1
Madssen 2014,HDL,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,0.05,0.1
Madssen 2014,LDL,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,-0.15,-0.1
Madssen 2014,Total Cholesterol,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,0,0.05
Madssen 2014,Triglycerides,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,-0.05,0.15
Madssen 2014,VO2max,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,3.55,1.65
Maillard 2016,BMI,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.2,0.2
Maillard 2016,Body Fat,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-1,-1.2
Maillard 2016,Body Mass,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.1,0.6
Maillard 2016,Fasting Glucose,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.3,0.4
Maillard 2016,HbA1c,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.1,-0.2
Maillard 2016,HDL,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.1,0.1
Maillard 2016,LDL,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.1,-0.2
Maillard 2016,Total Cholesterol,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.1,-0.2
Maillard 2016,Triglycerides,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0,-0.1
Martins 2016,Body Mass,Overweight/obese,30 - 50 y,12,> 10 weeks,0.5,< 0.5,Cycling,-1.3,-0.8
Martins 2016,VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.5,< 0.5,Cycling,2.8,2.9
Matsuo 2014,BMI,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,0.1,-0.3
Matsuo 2014,Body Fat,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.2,-1.1
Matsuo 2014,Body Mass,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,0.2,-0.9
Matsuo 2014,Diastolic Blood Pressure,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-6,-3
Matsuo 2014,Systolic Blood Pressure,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-3,-2
