age,height,weight,heart_rate,vo2_max,resting_heart_rate,steps,active_minutes
45,55.1,199.7,83,43.9,51,16439,144
24,75.7,184,107,36.1,75,6715,95
25,75.4,153.7,114,34.5,61,12626,93
52,68.5,199.6,163,59.8,74,7897,13
31,96.6,170.4,111,40,69,10664,133
34,91.4,164.4,163,34.8,72,19242,29
53,84.9,177.9,97,30.3,80,13181,44
57,85.7,165.2,126,38.6,51,13898,106
21,73.1,154.3,152,56.7,79,3712,23
19,96,150.1,67,46,64,18899,159
23,84.7,172.5,88,49,58,9355,57
59,86.4,191.8,178,57.7,74,12585,167
21,93.1,178.6,69,45.4,45,19759,38
46,63.7,200,128,55.1,82,5669,45
35,90.4,164.3,134,39.7,69,16382,51
43,59.8,164,127,59.3,78,17436,38
51,67.3,158,108,32.4,52,5262,144
27,66.8,158.2,117,51.7,64,6638,169
53,98.9,164.3,94,49.8,74,4866,150
31,92.8,189.6,109,35.8,48,11251,150
48,85.1,195.3,99,41.7,65,10948,151
32,86.4,198.8,179,39.4,71,2187,143
25,78.1,161.6,71,32.8,54,12573,153
31,97.4,194.1,144,47.5,67,9408,50
40,74.8,166.4,75,59.8,77,18679,121
57,69,155.6,137,46.8,55,5533,94
38,58.2,193.5,144,46.4,63,6140,117
33,89.3,181.8,107,31.2,55,6042,153
35,86.7,158.2,150,34.2,48,9733,14
41,69.2,171.5,159,45.4,67,16676,161
43,51.3,164.4,60,59.6,49,8005,19
42,91.9,186.8,124,56.3,49,7870,44
58,50.6,172.7,81,40.2,62,5904,40
46,85.2,199.5,74,46.3,61,17467,129
32,98.5,152.7,175,46.6,47,13973,88
18,71.9,167.8,143,50.6,52,16208,148
42,61.7,174.1,126,50.6,84,4261,18
24,85.2,175.2,73,53.7,67,15045,53
26,90.9,165.8,132,30.7,67,19804,125
41,77.3,186.5,78,58.3,46,16508,153
18,98.4,193.7,99,32.1,83,18862,129
25,52.6,196.9,157,44.3,65,8577,62
41,75.2,190.3,63,57.6,68,8785,74
28,85.9,192.5,92,44.6,82,10884,79
34,93.1,177.5,102,31.9,64,5038,55
25,59,191.3,96,36.9,83,2193,130
52,90,165.2,125,47.4,71,18442,130
52,77.6,169.9,86,32.6,83,13801,42
50,69.8,165.8,104,42.7,51,4580,90
22,56.6,173.4,140,39.9,77,14879,64
59,93.3,164.3,172,54.5,73,14245,107
56,57.9,198.1,109,33.3,54,15633,119
58,65.5,165.6,176,50.5,54,13277,177
45,64.5,154.9,154,42.2,56,9623,162
24,93.6,176.3,122,47.6,47,2220,159
26,83.6,152.9,164,36.2,47,2875,134
25,89.8,155.5,65,48.3,57,13654,100
29,62.5,161,175,50.2,75,3196,47
51,81.2,173.2,154,32.1,71,18719,146
50,78.6,171.7,126,54.7,50,10416,46
40,91.6,190,163,55.8,71,16370,14
41,95.3,187,126,31.9,79,3247,91
54,50.6,171.3,156,48.1,53,15250,159
52,83.7,166.7,175,47.8,50,9111,119
57,52.6,165.8,118,30.4,50,3886,149
39,77.4,188.7,72,40.3,84,2310,69
44,64.4,152.6,80,59.1,70,12760,159
52,65.3,150.6,123,46.7,63,19988,15
18,67.6,189.8,96,58,60,5546,36
52,81.1,173.9,139,50.3,67,7351,64
54,66.7,156.5,144,30.9,55,19381,152
31,86.6,161.8,179,32.3,60,2496,73
20,70.2,196.6,107,51.7,73,19347,26
18,53.4,193,115,46.6,82,12196,12
22,89.2,185.5,103,33.8,64,3198,19
43,64.3,174.1,72,48.4,65,12537,72
31,71.6,176,63,54.3,72,7910,98
56,84.3,198.8,154,52.6,77,7484,94
44,66.6,198.3,132,37.4,84,15397,113
26,52.8,160.8,171,37.7,70,2576,146
32,68.7,190.6,92,59,54,2053,161
32,97.2,159.9,96,56.6,78,17989,41
43,82.1,160.7,112,39.6,53,13624,12
59,83.6,183.8,160,54.7,80,17835,170
30,81.6,170.3,83,34.9,55,2228,118
49,59.9,196.6,148,35.9,54,18190,149
56,70.9,154.5,110,35.4,51,14022,102
49,87.5,175.6,100,32.6,82,2984,112
21,55.1,195.9,88,55.6,60,14660,106
47,63.9,195.2,118,47.4,70,12041,169
54,63.8,157.8,99,37.8,76,2531,157
40,71.6,168.3,110,55.5,75,15711,77
56,99,181,109,54.1,76,13227,154
32,53.4,158,170,33,56,10028,156
46,75.9,198.4,95,49.3,71,18945,141
53,59,195.7,138,51.7,66,2089,102
30,98.5,158.3,168,51.5,59,7735,26
49,55.7,156.1,119,51.7,52,5145,31
24,70.2,154.3,77,35.1,48,3292,179
39,86.9,195.5,79,39.5,52,9559,20
45,85.2,159.7,64,55.3,67,5781,38
19,71.1,170.8,77,57,60,4391,29
59,67.3,172.4,99,38.4,78,19602,14
23,69.9,180,60,30.7,66,15204,162
45,63.2,153.6,78,55.8,67,4252,43
45,60.3,161.3,146,41.3,49,5891,149
37,74.2,196.6,85,39.9,81,11866,37
47,63.4,195.4,172,40.4,51,19159,107
28,64.4,189.1,88,42.5,81,7229,15
45,82.8,151,118,41.3,70,9553,28
42,98.4,166.4,122,47,72,2063,21
56,80.2,181.4,157,32.4,48,3787,34
50,53.8,163.8,142,59.1,76,14042,22
18,53.8,195.5,121,58.1,82,10069,85
44,97.6,181.7,107,58,53,13726,12
30,64.9,153.6,121,56.4,80,5915,33
58,54.6,195.5,77,49.8,70,16655,17
20,80,197.9,125,36.6,55,14644,121
56,81.2,153.9,86,31.5,64,2092,129
23,82.4,176.6,65,33,82,12934,132
25,63.4,165.2,162,39.7,59,3677,99
44,50.8,169.6,129,45.1,79,5864,54
26,98.3,159,118,59.8,53,19785,10
54,62.5,178.9,65,43.1,77,19990,12
50,83.8,197.9,90,45.7,55,14148,74
59,85.3,175.2,164,50.9,66,13263,24
41,80.5,154.1,163,35.4,50,19281,59
32,65.6,181,153,58,81,17113,157
49,63.6,167,115,45.9,65,6587,140
49,79.9,192.8,113,38.3,56,19916,152
41,93.3,171.7,144,58.1,51,12169,133
58,97.3,159.6,100,48.8,46,3798,46
29,55.3,159.6,167,44.5,83,15782,158
56,57.7,188.4,77,47.4,68,19735,115
19,97.2,163.3,146,52.4,70,15408,112
20,86.8,188.4,161,34.6,69,12030,160
54,94.1,160.3,82,55.9,64,12752,130
34,60.1,166.1,151,58.8,84,9051,108
19,79.4,173.3,95,47,46,11855,155
19,85.1,197.2,84,50.5,79,12589,26
45,84,196.6,66,55.8,77,13395,168
40,70.4,160.3,141,41.2,61,14833,57
54,50.8,167.9,79,59.8,66,2598,35
49,79.1,157.5,64,50.4,45,16367,31
50,62.7,175.5,77,42.7,81,18642,134
18,72.5,173,165,50.3,74,10003,173
36,97.9,195,163,45.7,50,12097,73
19,70,196.5,92,33.3,58,15207,172
43,92,169.2,138,53.9,80,13824,91
49,59.4,174.6,94,46.9,77,2797,164
23,83.6,194.8,170,53.9,82,12695,77
49,98.9,190.3,169,34.6,83,7713,154
21,55.1,150.2,124,46.2,50,9311,148
28,50.4,166,122,53,70,7911,14
34,71.7,171.1,144,59.6,68,5954,130
55,54.6,161.5,131,56.5,77,11819,66
41,87.4,160,130,55.9,52,6312,83
22,95.7,151.9,100,37.4,78,10980,94
51,71.7,182.2,109,55.1,78,17828,129
23,62.9,163.1,167,35.1,68,15952,23
39,71.7,152.6,163,35.9,46,9102,81
28,86.2,161.5,163,33.3,52,14660,138
33,50.5,190.1,89,55.7,69,17427,153
50,79.5,192.6,97,33.2,74,3447,35
26,80.7,174.2,94,34.1,76,18898,58
23,81.9,170.8,125,37.4,74,14651,179
33,62.1,198.9,105,47.2,51,17112,112
46,85.7,160,67,56.4,68,3951,75
20,54.6,160.8,161,42.5,53,15827,62
37,60,164.6,127,46.4,60,10965,18
53,93.9,158.6,96,35,46,2328,78
36,86.9,169,144,38,79,10985,49
43,50.7,195.5,72,34,78,14884,142
20,62.4,180.8,132,42.3,66,7973,65
36,60.7,170.6,104,47.7,63,19794,120
37,63.5,196.7,88,38.5,65,9714,14
49,62.4,152.4,100,55.4,56,3137,78
24,53.1,160.5,115,59.4,55,19952,61
58,72.9,178.3,147,33.6,63,6472,82
50,86.6,180.8,75,30.5,50,5274,107
57,80.3,152,71,53.7,58,5273,170
56,83.6,170.2,125,35.7,77,17151,159
35,54.1,182.5,121,40.6,82,12155,24
57,97.6,184.9,78,41.8,57,7362,74
18,91.9,181.9,89,57.5,70,6636,80
28,90.3,166,75,49.8,58,7346,160
45,91.1,154.7,147,31.2,68,19620,120
42,96.6,171.4,72,30.4,45,12938,15
40,77.2,156.4,128,36,74,6208,163
48,60,197.4,82,39.5,54,6468,149
47,80.8,173.8,121,44.5,54,4346,86
59,87.1,165.9,179,55.1,72,15984,124
52,86.9,188.3,161,39.4,48,3042,122
24,76.1,174.9,90,41.3,58,15063,86
33,53.4,165.5,112,39.9,56,10199,139
43,68.6,190.6,179,30.3,82,5731,169
19,96,193.4,76,58.7,81,11765,104
18,79.2,183.7,108,34.2,54,9302,70
29,76.9,152.3,108,38.6,71,18844,148
22,63.4,178.3,126,33.9,56,18294,110
54,68.4,188.2,85,44.7,66,4302,43
49,94.8,156.8,72,58,48,11543,104
26,83.3,161.4,167,33,73,2361,112
58,89.4,194.1,97,43.2,80,7493,17
52,72.7,151,81,30.7,58,19171,145
36,81.5,187.6,144,53.1,56,18592,107
33,62.4,173.7,88,49.2,64,10458,152
20,85.3,172.3,104,51,67,7092,14
37,71.4,150.4,105,44.2,66,18937,156
41,72.1,191,98,57.2,78,10025,146
50,82.5,168,128,42.3,65,15817,166
41,96.8,177,137,45.4,53,11779,110
28,53.2,183.9,141,50.9,54,6516,156
25,91.2,185.1,127,45.6,54,8451,55
53,64.6,197.8,156,35.7,74,16530,113
55,72.2,176.6,98,39.5,77,11310,89
57,51.1,170,79,32.8,46,3513,127
37,65.1,197.7,136,43,76,15336,14
52,75.1,182.1,159,48.3,61,13595,170
42,52.8,164.9,168,33.6,72,8749,64
52,74.6,156.3,127,48.9,61,9005,28
42,96.4,192.1,94,56.8,58,6438,154
46,55.3,168.1,67,40.1,54,14880,97
35,88.2,183,111,36.7,78,14256,126
35,70.5,173.5,99,56.8,58,12176,179
19,82.8,159.9,172,50.8,61,18359,159
52,63,180.1,170,33.2,81,16412,48
33,58,153,95,42.2,66,16287,134
58,58,170.7,65,50.2,62,19589,36
53,53.5,177.3,179,47.2,79,15044,85
50,59.3,171.8,145,48.6,62,4435,136
21,83.2,187.4,129,47,74,13166,165
50,94.1,191.4,165,53.9,81,5098,176
31,90.7,188.6,159,39.6,84,5386,131
38,84.3,151.9,132,51.3,50,7440,155
37,55.5,159.7,75,59.7,59,14735,96
25,64.5,176.8,162,41.7,79,12008,159
24,65.5,196.7,105,53.7,70,8436,77
20,62.5,191.7,118,37.4,71,9403,20
34,75.8,192.1,97,38.5,74,12696,91
50,76.8,165.2,156,58,55,4939,73
29,67.8,171.5,77,30.8,68,19222,128
39,67.7,173.5,71,36.5,58,5138,94
39,91.4,157.9,113,44.5,67,18559,66
47,89.5,151.6,150,42.1,53,5162,172
55,65.4,197.3,106,48.9,62,4752,46
55,95.7,162,60,35.8,83,14889,130
25,97.6,162,74,32.1,63,2837,39
44,66.3,154.2,170,41.1,49,14043,154
44,67.7,196.4,150,45.7,62,17797,170
51,75.3,179,139,46.9,77,16386,153
38,97.1,183.4,80,48,82,4733,152
47,93.8,195.6,60,46.5,57,14002,150
50,55.1,167.3,152,37.4,53,16601,12
45,69.6,181.1,126,52.9,70,7206,33
50,77.7,151.9,71,32.6,45,4653,160
22,75.2,159.3,87,36,56,5310,68
36,59.7,191.6,98,52.2,68,6680,64
21,92.9,188.3,96,38.4,45,7191,74
52,83.8,167.5,154,44.8,48,18757,169
34,91.9,168.8,119,39.8,51,6675,69
45,92.9,176.7,90,45.2,72,14804,167
47,87.4,150,117,40.4,81,18210,75
46,72,162.1,156,59.8,49,3261,155
23,80.5,160.4,156,40.7,83,9633,68
52,58,162.5,170,48.8,76,10312,62
58,83.7,190.3,163,56.7,75,7532,73
54,59,164,70,49.1,59,4884,130
41,84.7,159.6,169,47,47,12809,128
46,61.5,175.2,88,47.1,59,7623,39
48,55.9,193.3,148,44.9,62,13460,27
52,58.3,162.1,178,54.2,65,12234,14
50,50.1,153.9,72,31.5,54,18874,78
38,85.9,167.8,110,56.6,65,16137,145
49,86.6,187.4,167,47.6,70,5045,146
40,75.7,177.5,113,55.5,47,2382,169
50,58.1,190.8,78,30.3,45,19188,129
20,54.2,198,117,56.1,65,7585,151
35,51,189.6,95,33.6,55,11369,150
42,58.3,180.2,87,51.6,60,4217,27
59,94.5,174.7,127,42.5,79,11487,77
48,62.1,152,62,50.4,65,14718,123
20,67.7,199.2,161,48.8,55,17115,31
57,55.3,169.2,160,34.9,75,2650,29
41,61.1,157.6,166,45.4,45,10169,152
49,76,183.3,148,38.3,76,18312,16
39,80.4,164.2,100,46.8,47,12943,107
40,62.3,179.3,94,52.1,76,5198,114
19,52.9,179.3,152,32.4,49,19325,39
44,69.6,172.3,164,45.5,81,10732,14
59,61.7,191.8,152,48.5,56,7805,138
19,61,163.2,135,38.9,58,3202,168
43,98,172.4,158,58.6,53,19034,29
34,80.8,176.9,143,45.6,51,5006,92
57,77.8,183.2,140,35.5,60,10505,73
50,70.8,189.2,176,33.2,72,11375,127
26,71.4,169.7,135,46.2,51,15105,38
56,77,182.3,109,41.3,58,18505,111
46,84.8,157.5,159,35.8,76,8603,147
59,85.1,196.6,133,30.9,52,5682,166
43,58.6,169.2,141,47,71,15460,40
52,75,186.5,89,48,47,15559,84
42,70.6,151,131,34.3,71,8864,39
41,93.5,160.3,164,48.1,74,16234,162
30,81.6,174.4,174,58.6,78,13889,89
24,76.6,193.9,136,59.3,70,3729,67
53,55.8,176.4,154,56.7,81,13747,66
37,80.3,196.5,129,54.2,84,19502,96
18,55.9,174.2,113,36.3,66,4168,132
25,66.9,174.5,130,34.7,76,14413,106
33,57.1,156,144,43.3,46,16884,124
31,84.6,190.1,161,48.6,52,14973,46
29,60.3,162.3,166,55.5,51,9668,67
40,69.6,195,172,37,63,15260,37
32,94.8,195.5,110,44.4,77,13308,164
45,60.2,197.2,87,49.4,46,19434,46
51,75.4,176,123,43.4,47,10896,15
19,71,183.9,167,43.6,72,8640,71
49,50.9,188.9,144,36.8,58,15919,42
40,89.6,156.6,80,59.6,59,9674,98
39,53.5,180,147,44.3,65,6721,87
42,73.7,151.7,86,46,58,3066,49
39,78,174.9,86,36.6,84,12138,178
39,81.4,157.7,136,45.4,62,3918,128
59,84.4,159.1,109,37.7,83,11457,51
23,62.7,168.3,88,36.1,64,12726,146
32,50.5,171.6,98,38.3,45,16282,27
54,86.2,181.2,116,30.1,53,19711,24
50,76.8,153.7,178,47.1,53,9448,141
25,91.8,175.2,151,41.6,82,3142,43
22,91.1,159.1,96,57,83,3415,71
56,92.2,178.7,152,31.2,73,8374,47
21,74.3,181.9,123,31.3,59,2760,80
23,66.7,177.8,107,56.6,64,5642,32
49,89.6,186.9,81,33.8,82,19936,135
47,72.6,166.8,159,30.1,74,19246,29
52,59.2,188.3,89,35.4,70,11347,62
57,92.7,171.6,87,54.7,50,3328,139
33,94.1,174.2,82,54.1,83,19413,30
30,73.3,182.4,156,40.2,61,14063,85
59,53.8,150.9,63,50,50,5140,51
47,69.4,182.7,62,45.2,72,19265,66
36,90.2,180.9,120,57.1,53,10730,131
34,95.1,165.5,155,31.7,71,16057,100
36,60.2,154.3,63,54.4,79,5557,121
45,53.3,154.5,124,35.1,50,15211,19
43,93.9,196.2,71,41.7,48,16386,81
54,69.5,184.5,72,35.8,60,11802,70
43,77.1,156.4,93,51.1,67,5163,30
40,98.4,167.8,118,50.3,67,6463,130
26,53.3,179.6,152,46.4,73,6007,95
29,82.4,191.8,132,50.9,48,6675,150
18,53.7,152.2,90,49.2,84,16058,57
18,68.8,161.8,130,53.3,84,18233,177
51,90.2,194.5,72,37.2,68,6751,18
49,71.7,150.5,113,42.9,50,8219,122
42,99.9,160.1,61,34.5,84,17445,129
57,78,198,92,42.9,50,10418,49
18,66.1,180.7,109,51.1,58,9735,85
33,61,163.1,66,50.7,58,10783,73
56,67.5,153.3,77,51.3,79,16456,103
22,68.6,151.4,110,39.3,50,15140,79
39,53.4,162.2,67,49.9,67,12863,73
46,68.5,194.1,114,41,64,17225,34
20,73.2,170.8,135,58.3,61,4078,165
29,86.1,186,102,40.3,64,14142,147
43,82.8,195.9,118,48.1,50,14073,165
33,85.4,170.4,89,52.5,84,5321,45
54,50.4,159.6,118,57.2,72,14337,148
39,60.9,175.9,68,43.1,57,17061,30
46,83.1,195.4,151,40.8,73,8011,163
31,74.2,190.2,127,42.9,64,9087,155
45,50.3,153.3,98,39.7,61,11996,77
22,90.2,184.6,140,49.6,79,3730,50
47,88.6,178.6,70,58,83,16077,24
22,77.4,195.4,61,33.8,81,8618,32
29,53.3,156.1,82,46.8,67,8899,178
33,88.3,176.7,122,56.9,62,3029,143
43,79.2,194,173,33,80,17128,121
43,89.1,170.5,81,44.8,64,2411,61
38,87.6,174.1,120,56,51,3981,146
56,90.2,153.5,85,57,80,11539,124
53,75.9,163.9,71,45.4,45,3305,167
50,57,166.2,91,30.7,81,14478,53
47,83.6,197.3,68,33.2,79,15246,165
54,81,164.1,166,47.6,47,6595,17
40,87.1,173,128,33.7,79,19199,108
27,58.5,183.6,149,34.5,73,13697,60
22,59.7,158.1,130,53.2,53,17422,108
53,94.5,174.3,152,52.5,81,11668,130
51,87.5,186.9,92,55.3,69,7612,99
48,95.4,193.3,83,33.2,56,4037,39
27,87.9,181.3,148,35.9,82,11522,148
36,79.9,183.5,154,55,51,13998,157
49,82.7,156.3,152,51.6,51,9086,40
18,94.5,197.3,128,54.2,48,3149,171
22,78.9,156.6,97,59.7,75,18390,149
21,81.6,188.7,168,55.9,83,3436,165
33,57.8,163.2,70,45.6,54,5250,76
41,73.7,196.7,91,39.3,67,19078,126
33,85.8,186,123,47.1,70,16263,179
19,63.5,187.7,131,49.2,67,6843,14
45,60.1,161,79,40.1,73,14433,86
49,65.7,172.2,93,53.1,52,13559,21
44,62.1,180.9,170,32.8,63,6952,68
37,60.7,188.5,101,53.4,73,9842,74
41,71.2,155.2,67,31,50,2025,61
29,95.4,198.1,125,44.9,73,4153,52
52,75.4,194.5,80,55.8,68,10019,92
50,59.4,163.5,138,32.6,54,10523,102
50,53.8,191.1,129,45.5,58,7161,72
54,84.8,175.9,64,34.8,50,19028,120
29,69.1,173.1,177,56.8,48,3852,59
20,91.1,165.7,177,55,59,9723,121
18,83,179,126,58,81,17706,48
50,89.8,186.5,166,56.2,83,12623,179
57,63.6,170.5,102,52.1,72,5809,89
27,84.6,181.5,75,35.5,46,3311,26
46,63.2,185,158,39.1,57,13198,52
30,97,185.6,132,44.9,46,8238,58
29,81.8,152.6,94,47.7,76,9788,14
48,66.2,193,142,53.5,49,8977,138
19,63.5,172.9,102,36.8,47,8409,76
52,59.5,163.1,169,33.8,46,4070,121
40,84.7,162.1,157,44.5,58,4656,33
34,60.9,174.2,98,34.7,84,6134,38
43,79.8,194.3,69,50.8,73,5484,152
25,63.2,168.9,133,47.3,82,18797,141
46,83.1,187.5,79,52.2,50,12854,53
43,90.7,154.8,60,31.9,78,16544,74
27,88.9,173.8,65,58.9,52,14309,129
43,88,199.6,112,30,46,8148,135
51,59.4,188.5,105,39.8,70,7791,40
58,54.4,160.5,125,50.4,61,19303,157
24,84.9,175.1,97,31.4,68,19290,19
21,68.4,161.7,92,32.5,75,13858,20
28,71.6,170.5,126,32.3,60,17002,91
46,51.6,189,159,47.4,65,6895,165
53,63,188.6,136,56.9,82,12556,175
42,51.7,161.4,94,46.7,70,19176,33
38,94,196.1,138,48.1,61,11919,48
53,62.2,179.6,104,40.4,48,13419,128
27,77.9,169,81,30.6,48,14378,85
54,51.9,175.1,166,30.6,63,5725,59
26,83.3,180.3,127,56.6,82,13558,16
41,66.2,178,76,33.1,69,15057,109
52,94.9,174.3,64,60,52,3360,90
52,94.4,175.2,144,34.9,62,4048,77
53,66.3,158.8,116,50.2,62,8252,46
35,95,190.6,147,58.5,51,13167,92
56,99.8,177.1,154,40.9,61,2205,63
49,91.3,156.6,99,52,47,13678,99
41,92.2,188.3,176,40.5,66,17185,40
40,62.5,196.6,179,39.1,59,10814,109
49,78.8,197.4,89,36.1,75,13479,102
54,53.4,168.5,101,54.6,80,13204,98
29,54.7,156.8,66,37.7,70,15839,132
30,99.9,175.9,172,38.5,58,13829,127
40,66.3,155.6,130,60,61,12892,56
42,87.4,196.7,150,39.8,53,3871,155
52,90.3,159.2,147,42.7,51,8934,12
58,92.9,162.6,78,59.7,71,4335,27
47,99.9,170.3,100,41.1,72,3725,67
34,62.1,169.2,179,41,56,11306,80
37,52,189.7,93,54.8,61,7985,90
42,70.6,172.8,81,39.4,53,9216,162
39,56.5,158.5,111,37,52,18544,155
30,51.1,163.4,174,42.7,71,3425,61
36,68,175.5,150,51,56,3733,52
53,89.2,157.4,65,31.3,81,14607,76
29,78.3,180.6,133,41.2,64,12603,98
58,65.6,178.3,168,40.4,45,14152,144
36,82.7,185.7,154,37.3,53,17801,120
29,61.6,196.9,84,49.6,68,18985,92
26,50.7,195.6,125,38.7,78,11747,88
24,88.2,197.3,69,48.2,80,15531,94
45,81.2,162.2,133,45.1,48,15985,30
31,88.1,156.6,85,36.5,73,3520,131
48,51.9,165.1,64,38,67,4390,174
36,91.9,194.8,145,35.1,79,3117,37
33,81,198.6,127,31.7,60,9300,41
22,78.2,193,178,48.6,52,11716,178
52,81.2,155.5,157,50.2,71,14459,63
29,93.2,197.4,130,35,83,8141,164
42,79.3,171.2,109,48.5,56,9939,132
38,79,150.5,76,59.5,48,6777,96
53,99.5,172.1,70,32.2,69,13432,49
40,87.8,152.3,112,44.7,50,16271,178
33,72.1,177.2,109,52,47,5801,79
56,85.4,166.9,67,31.4,83,9057,33
59,69.5,173.7,151,53.3,68,9510,155
56,61.4,180.7,167,59.4,65,10099,83
31,79.8,193.4,179,32.7,50,17193,152
48,96.4,183.1,156,54.7,77,18132,107
22,96.5,171.7,175,41.4,52,6450,81
52,67.1,191,121,34.3,77,16549,172
40,76.4,195.3,148,44.8,47,8960,36
46,60.6,156,144,32.1,46,18583,98
28,99.8,176.6,135,45.7,82,8996,140
35,99.1,164.2,149,30.6,84,16201,30
29,82.5,152.4,88,51.9,83,7043,130
26,90.2,183.4,161,44.6,83,9834,48
27,85.8,193.1,158,43.8,68,11556,41
34,79.7,158.1,160,35.9,65,3852,94
55,52.7,190.6,169,40.8,62,18263,18
24,72.7,192.7,103,35.5,79,14629,59
30,83.7,195.7,168,52.1,55,3662,10
57,83.9,163.3,104,36,55,16734,13
59,68.7,195.2,88,48.5,47,9589,13
26,97.1,166,172,38.4,67,12650,99
44,58.4,177.6,147,49.7,45,18596,171
19,75,152.5,118,46.2,67,6655,164
22,84.5,152.2,74,42.7,66,10749,24
46,84.9,186,129,50.2,74,12797,118
54,82.4,172.2,155,42.5,46,8645,41
55,63.8,162.8,103,54.6,61,13895,178
36,57.8,159.5,157,51.9,64,3994,72
25,81.8,183.5,95,46.2,53,16866,117
18,80,150,143,56.3,55,17122,117
39,59,190.3,116,54.9,61,18858,23
34,85.3,154,176,46,58,10233,32
24,72.8,159.6,123,32.1,62,12843,120
42,83.4,169.3,135,47,62,5992,74
21,91.9,174.2,158,40.7,52,6823,169
53,58.5,167.7,172,46.2,73,5517,50
23,51,166,97,49.4,52,4268,35
48,89,198.2,179,49.3,70,18006,57
36,80.5,182.1,76,50.2,72,19323,153
56,85,151.2,86,50.4,52,6438,168
44,91.9,171.5,76,33.3,64,13501,41
27,90.1,193.8,122,35.8,52,8298,147
43,98,165.1,70,48.9,58,15128,162
36,76.8,154.7,123,42.2,57,13319,91
56,74.4,187.9,178,52.9,84,16722,118
20,70.1,180.3,98,33.7,61,6989,161
30,57.7,178.5,61,35.7,70,8028,12
45,78.6,152.7,174,46.8,50,15626,71
37,63.9,157,125,45,61,14325,88
45,96.1,181.1,113,38,48,10422,19
25,79.2,160.4,88,42.3,69,12673,159
58,79.6,175.2,104,31,51,15512,151
56,67.7,177.2,147,31.1,61,16472,145
18,52.6,164.2,147,32.8,66,16900,132
20,51.6,197.4,139,47.3,72,4903,111
30,71.2,192.1,90,55.9,50,9763,152
45,54.2,186.1,108,37.8,74,12960,119
42,80.3,153.9,166,31,54,13084,152
50,94,155.3,68,51.3,83,12275,79
55,94.1,174.6,86,55.7,58,4074,63
23,83,158,115,34.1,66,9825,85
49,60.6,198.9,164,41.6,70,4065,179
38,93.1,157.9,137,34.8,54,5208,156
33,94.3,174.4,104,33.2,46,6674,49
38,59.8,168.2,148,49.4,47,11094,36
28,86.9,182,102,59,55,16137,83
54,64.3,156.5,167,50.3,54,17310,52
53,90.1,171.5,81,59.5,56,11245,55
52,99.9,163.7,158,43,58,2122,151
36,51.5,194.4,92,56.9,74,19340,73
37,94.9,152,86,36.2,57,19370,107
35,81.1,195.7,99,33.5,74,11443,135
58,98.7,191.6,85,51.1,82,6433,67
31,73.3,164.9,142,41.1,55,2990,38
32,92.4,189.5,104,39.5,45,7556,163
48,53.1,151.6,162,50.1,71,16650,36
18,66.8,198.3,104,40,83,6709,76
20,53.4,176.3,85,47.2,81,5580,172
33,98.8,165.2,129,39,53,2871,123
40,90.8,168.1,126,53.5,70,16592,87
28,92.6,153.3,65,39.4,69,14922,99
29,96.9,199.5,87,46,61,12383,140
27,54.3,152,126,30.7,50,7550,170
49,69.3,182.7,72,53.8,59,14774,51
33,53.6,172.1,122,48.6,47,5207,22
25,60.5,197.4,72,35.8,75,5097,38
55,61.5,162.3,136,36.5,72,13278,18
29,73.5,176.6,60,37.9,53,3624,41
