age,height,weight,heart_rate,vo2_max,resting_heart_rate
58,72.9,178.3,147,33.6,63
50,86.6,180.8,75,30.5,50
57,80.3,152,71,53.7,58
56,83.6,170.2,125,35.7,77
35,54.1,182.5,121,40.6,82
57,97.6,184.9,78,41.8,57
18,91.9,181.9,89,57.5,70
28,90.3,166,75,49.8,58
45,91.1,154.7,147,31.2,68
42,96.6,171.4,72,30.4,45
40,77.2,156.4,128,36,74
48,60,197.4,82,39.5,54
47,80.8,173.8,121,44.5,54
59,87.1,165.9,179,55.1,72
52,86.9,188.3,161,39.4,48
24,76.1,174.9,90,41.3,58
33,53.4,165.5,112,39.9,56
43,68.6,190.6,179,30.3,82
19,96,193.4,76,58.7,81
18,79.2,183.7,108,34.2,54
29,76.9,152.3,108,38.6,71
22,63.4,178.3,126,33.9,56
54,68.4,188.2,85,44.7,66
49,94.8,156.8,72,58,48
26,83.3,161.4,167,33,73
58,89.4,194.1,97,43.2,80
52,72.7,151,81,30.7,58
36,81.5,187.6,144,53.1,56
33,62.4,173.7,88,49.2,64
20,85.3,172.3,104,51,67
37,71.4,150.4,105,44.2,66
41,72.1,191,98,57.2,78
50,82.5,168,128,42.3,65
41,96.8,177,137,45.4,53
28,53.2,183.9,141,50.9,54
25,91.2,185.1,127,45.6,54
53,64.6,197.8,156,35.7,74
55,72.2,176.6,98,39.5,77
57,51.1,170,79,32.8,46
37,65.1,197.7,136,43,76
52,75.1,182.1,159,48.3,61
42,52.8,164.9,168,33.6,72
52,74.6,156.3,127,48.9,61
42,96.4,192.1,94,56.8,58
46,55.3,168.1,67,40.1,54
35,88.2,183,111,36.7,78
35,70.5,173.5,99,56.8,58
19,82.8,159.9,172,50.8,61
52,63,180.1,170,33.2,81
33,58,153,95,42.2,66
58,58,170.7,65,50.2,62
53,53.5,177.3,179,47.2,79
50,59.3,171.8,145,48.6,62
21,83.2,187.4,129,47,74
50,94.1,191.4,165,53.9,81
31,90.7,188.6,159,39.6,84
38,84.3,151.9,132,51.3,50
37,55.5,159.7,75,59.7,59
25,64.5,176.8,162,41.7,79
24,65.5,196.7,105,53.7,70
20,62.5,191.7,118,37.4,71
34,75.8,192.1,97,38.5,74
50,76.8,165.2,156,58,55
29,67.8,171.5,77,30.8,68
39,67.7,173.5,71,36.5,58
39,91.4,157.9,113,44.5,67
47,89.5,151.6,150,42.1,53
55,65.4,197.3,106,48.9,62
55,95.7,162,60,35.8,83
25,97.6,162,74,32.1,63
44,66.3,154.2,170,41.1,49
44,67.7,196.4,150,45.7,62
51,75.3,179,139,46.9,77
38,97.1,183.4,80,48,82
47,93.8,195.6,60,46.5,57
50,55.1,167.3,152,37.4,53
45,69.6,181.1,126,52.9,70
50,77.7,151.9,71,32.6,45
22,75.2,159.3,87,36,56
36,59.7,191.6,98,52.2,68
21,92.9,188.3,96,38.4,45
52,83.8,167.5,154,44.8,48
34,91.9,168.8,119,39.8,51
45,92.9,176.7,90,45.2,72
47,87.4,150,117,40.4,81
46,72,162.1,156,59.8,49
23,80.5,160.4,156,40.7,83
52,58,162.5,170,48.8,76
58,83.7,190.3,163,56.7,75
54,59,164,70,49.1,59
41,84.7,159.6,169,47,47
46,61.5,175.2,88,47.1,59
48,55.9,193.3,148,44.9,62
52,58.3,162.1,178,54.2,65
50,50.1,153.9,72,31.5,54
38,85.9,167.8,110,56.6,65
49,86.6,187.4,167,47.6,70
40,75.7,177.5,113,55.5,47
50,58.1,190.8,78,30.3,45
20,54.2,198,117,56.1,65
35,51,189.6,95,33.6,55
42,58.3,180.2,87,51.6,60
59,94.5,174.7,127,42.5,79
48,62.1,152,62,50.4,65
20,67.7,199.2,161,48.8,55
57,55.3,169.2,160,34.9,75
41,61.1,157.6,166,45.4,45
49,76,183.3,148,38.3,76
39,80.4,164.2,100,46.8,47
40,62.3,179.3,94,52.1,76
19,52.9,179.3,152,32.4,49
44,69.6,172.3,164,45.5,81
59,61.7,191.8,152,48.5,56
19,61,163.2,135,38.9,58
43,98,172.4,158,58.6,53
34,80.8,176.9,143,45.6,51
57,77.8,183.2,140,35.5,60
50,70.8,189.2,176,33.2,72
26,71.4,169.7,135,46.2,51
56,77,182.3,109,41.3,58
46,84.8,157.5,159,35.8,76
59,85.1,196.6,133,30.9,52
43,58.6,169.2,141,47,71
52,75,186.5,89,48,47
42,70.6,151,131,34.3,71
41,93.5,160.3,164,48.1,74
30,81.6,174.4,174,58.6,78
24,76.6,193.9,136,59.3,70
53,55.8,176.4,154,56.7,81
37,80.3,196.5,129,54.2,84
18,55.9,174.2,113,36.3,66
25,66.9,174.5,130,34.7,76
33,57.1,156,144,43.3,46
31,84.6,190.1,161,48.6,52
29,60.3,162.3,166,55.5,51
40,69.6,195,172,37,63
32,94.8,195.5,110,44.4,77
45,60.2,197.2,87,49.4,46
51,75.4,176,123,43.4,47
19,71,183.9,167,43.6,72
49,50.9,188.9,144,36.8,58
40,89.6,156.6,80,59.6,59
39,53.5,180,147,44.3,65
42,73.7,151.7,86,46,58
39,78,174.9,86,36.6,84
39,81.4,157.7,136,45.4,62
59,84.4,159.1,109,37.7,83
23,62.7,168.3,88,36.1,64
32,50.5,171.6,98,38.3,45
54,86.2,181.2,116,30.1,53
50,76.8,153.7,178,47.1,53
25,91.8,175.2,151,41.6,82
22,91.1,159.1,96,57,83
56,92.2,178.7,152,31.2,73
21,74.3,181.9,123,31.3,59
23,66.7,177.8,107,56.6,64
49,89.6,186.9,81,33.8,82
47,72.6,166.8,159,30.1,74
52,59.2,188.3,89,35.4,70
57,92.7,171.6,87,54.7,50
33,94.1,174.2,82,54.1,83
30,73.3,182.4,156,40.2,61
59,53.8,150.9,63,50,50
47,69.4,182.7,62,45.2,72
36,90.2,180.9,120,57.1,53
34,95.1,165.5,155,31.7,71
36,60.2,154.3,63,54.4,79
45,53.3,154.5,124,35.1,50
43,93.9,196.2,71,41.7,48
54,69.5,184.5,72,35.8,60
43,77.1,156.4,93,51.1,67
40,98.4,167.8,118,50.3,67
26,53.3,179.6,152,46.4,73
29,82.4,191.8,132,50.9,48
18,53.7,152.2,90,49.2,84
18,68.8,161.8,130,53.3,84
51,90.2,194.5,72,37.2,68
49,71.7,150.5,113,42.9,50
42,99.9,160.1,61,34.5,84
57,78,198,92,42.9,50
18,66.1,180.7,109,51.1,58
33,61,163.1,66,50.7,58
56,67.5,153.3,77,51.3,79
22,68.6,151.4,110,39.3,50
39,53.4,162.2,67,49.9,67
46,68.5,194.1,114,41,64
20,73.2,170.8,135,58.3,61
29,86.1,186,102,40.3,64
43,82.8,195.9,118,48.1,50
33,85.4,170.4,89,52.5,84
54,50.4,159.6,118,57.2,72
39,60.9,175.9,68,43.1,57
46,83.1,195.4,151,40.8,73
31,74.2,190.2,127,42.9,64
45,50.3,153.3,98,39.7,61
22,90.2,184.6,140,49.6,79
47,88.6,178.6,70,58,83
22,77.4,195.4,61,33.8,81
29,53.3,156.1,82,46.8,67
33,88.3,176.7,122,56.9,62
43,79.2,194,173,33,80
43,89.1,170.5,81,44.8,64
38,87.6,174.1,120,56,51
56,90.2,153.5,85,57,80
53,75.9,163.9,71,45.4,45
50,57,166.2,91,30.7,81
47,83.6,197.3,68,33.2,79
54,81,164.1,166,47.6,47
40,87.1,173,128,33.7,79
27,58.5,183.6,149,34.5,73
22,59.7,158.1,130,53.2,53
53,94.5,174.3,152,52.5,81
51,87.5,186.9,92,55.3,69
48,95.4,193.3,83,33.2,56
27,87.9,181.3,148,35.9,82
36,79.9,183.5,154,55,51
49,82.7,156.3,152,51.6,51
18,94.5,197.3,128,54.2,48
22,78.9,156.6,97,59.7,75
21,81.6,188.7,168,55.9,83
33,57.8,163.2,70,45.6,54
41,73.7,196.7,91,39.3,67
33,85.8,186,123,47.1,70
19,63.5,187.7,131,49.2,67
45,60.1,161,79,40.1,73
49,65.7,172.2,93,53.1,52
44,62.1,180.9,170,32.8,63
37,60.7,188.5,101,53.4,73
41,71.2,155.2,67,31,50
29,95.4,198.1,125,44.9,73
52,75.4,194.5,80,55.8,68
50,59.4,163.5,138,32.6,54
50,53.8,191.1,129,45.5,58
54,84.8,175.9,64,34.8,50
29,69.1,173.1,177,56.8,48
20,91.1,165.7,177,55,59
18,83,179,126,58,81
50,89.8,186.5,166,56.2,83
57,63.6,170.5,102,52.1,72
27,84.6,181.5,75,35.5,46
46,63.2,185,158,39.1,57
30,97,185.6,132,44.9,46
29,81.8,152.6,94,47.7,76
48,66.2,193,142,53.5,49
19,63.5,172.9,102,36.8,47
52,59.5,163.1,169,33.8,46
40,84.7,162.1,157,44.5,58
34,60.9,174.2,98,34.7,84
43,79.8,194.3,69,50.8,73
25,63.2,168.9,133,47.3,82
46,83.1,187.5,79,52.2,50
43,90.7,154.8,60,31.9,78
27,88.9,173.8,65,58.9,52
43,88,199.6,112,30,46
51,59.4,188.5,105,39.8,70
58,54.4,160.5,125,50.4,61
24,84.9,175.1,97,31.4,68
21,68.4,161.7,92,32.5,75
28,71.6,170.5,126,32.3,60
46,51.6,189,159,47.4,65
53,63,188.6,136,56.9,82
42,51.7,161.4,94,46.7,70
38,94,196.1,138,48.1,61
53,62.2,179.6,104,40.4,48
27,77.9,169,81,30.6,48
54,51.9,175.1,166,30.6,63
26,83.3,180.3,127,56.6,82
41,66.2,178,76,33.1,69
52,94.9,174.3,64,60,52
52,94.4,175.2,144,34.9,62
53,66.3,158.8,116,50.2,62
35,95,190.6,147,58.5,51
56,99.8,177.1,154,40.9,61
49,91.3,156.6,99,52,47
41,92.2,188.3,176,40.5,66
40,62.5,196.6,179,39.1,59
49,78.8,197.4,89,36.1,75
54,53.4,168.5,101,54.6,80
29,54.7,156.8,66,37.7,70
30,99.9,175.9,172,38.5,58
40,66.3,155.6,130,60,61
42,87.4,196.7,150,39.8,53
52,90.3,159.2,147,42.7,51
58,92.9,162.6,78,59.7,71
47,99.9,170.3,100,41.1,72
34,62.1,169.2,179,41,56
37,52,189.7,93,54.8,61
42,70.6,172.8,81,39.4,53
39,56.5,158.5,111,37,52
30,51.1,163.4,174,42.7,71
36,68,175.5,150,51,56
53,89.2,157.4,65,31.3,81
29,78.3,180.6,133,41.2,64
58,65.6,178.3,168,40.4,45
36,82.7,185.7,154,37.3,53
29,61.6,196.9,84,49.6,68
26,50.7,195.6,125,38.7,78
24,88.2,197.3,69,48.2,80
45,81.2,162.2,133,45.1,48
31,88.1,156.6,85,36.5,73
48,51.9,165.1,64,38,67
36,91.9,194.8,145,35.1,79
33,81,198.6,127,31.7,60
22,78.2,193,178,48.6,52
52,81.2,155.5,157,50.2,71
29,93.2,197.4,130,35,83
42,79.3,171.2,109,48.5,56
38,79,150.5,76,59.5,48
53,99.5,172.1,70,32.2,69
40,87.8,152.3,112,44.7,50
33,72.1,177.2,109,52,47
56,85.4,166.9,67,31.4,83
59,69.5,173.7,151,53.3,68
56,61.4,180.7,167,59.4,65
31,79.8,193.4,179,32.7,50
48,96.4,183.1,156,54.7,77
22,96.5,171.7,175,41.4,52
52,67.1,191,121,34.3,77
40,76.4,195.3,148,44.8,47
46,60.6,156,144,32.1,46
28,99.8,176.6,135,45.7,82
35,99.1,164.2,149,30.6,84
29,82.5,152.4,88,51.9,83
26,90.2,183.4,161,44.6,83
27,85.8,193.1,158,43.8,68
34,79.7,158.1,160,35.9,65
55,52.7,190.6,169,40.8,62
24,72.7,192.7,103,35.5,79
30,83.7,195.7,168,52.1,55
57,83.9,163.3,104,36,55
59,68.7,195.2,88,48.5,47
26,97.1,166,172,38.4,67
44,58.4,177.6,147,49.7,45
19,75,152.5,118,46.2,67
22,84.5,152.2,74,42.7,66
46,84.9,186,129,50.2,74
54,82.4,172.2,155,42.5,46
55,63.8,162.8,103,54.6,61
36,57.8,159.5,157,51.9,64
25,81.8,183.5,95,46.2,53
18,80,150,143,56.3,55
39,59,190.3,116,54.9,61
34,85.3,154,176,46,58
24,72.8,159.6,123,32.1,62
42,83.4,169.3,135,47,62
21,91.9,174.2,158,40.7,52
53,58.5,167.7,172,46.2,73
23,51,166,97,49.4,52
48,89,198.2,179,49.3,70
36,80.5,182.1,76,50.2,72
56,85,151.2,86,50.4,52
44,91.9,171.5,76,33.3,64
27,90.1,193.8,122,35.8,52
43,98,165.1,70,48.9,58
36,76.8,154.7,123,42.2,57
56,74.4,187.9,178,52.9,84
20,70.1,180.3,98,33.7,61
30,57.7,178.5,61,35.7,70
45,78.6,152.7,174,46.8,50
37,63.9,157,125,45,61
45,96.1,181.1,113,38,48
25,79.2,160.4,88,42.3,69
58,79.6,175.2,104,31,51
56,67.7,177.2,147,31.1,61
18,52.6,164.2,147,32.8,66
20,51.6,197.4,139,47.3,72
30,71.2,192.1,90,55.9,50
45,54.2,186.1,108,37.8,74
42,80.3,153.9,166,31,54
50,94,155.3,68,51.3,83
55,94.1,174.6,86,55.7,58
23,83,158,115,34.1,66
49,60.6,198.9,164,41.6,70
38,93.1,157.9,137,34.8,54
33,94.3,174.4,104,33.2,46
38,59.8,168.2,148,49.4,47
28,86.9,182,102,59,55
54,64.3,156.5,167,50.3,54
53,90.1,171.5,81,59.5,56
52,99.9,163.7,158,43,58
36,51.5,194.4,92,56.9,74
37,94.9,152,86,36.2,57
35,81.1,195.7,99,33.5,74
58,98.7,191.6,85,51.1,82
31,73.3,164.9,142,41.1,55
32,92.4,189.5,104,39.5,45
48,53.1,151.6,162,50.1,71
18,66.8,198.3,104,40,83
20,53.4,176.3,85,47.2,81
33,98.8,165.2,129,39,53
40,90.8,168.1,126,53.5,70
28,92.6,153.3,65,39.4,69
29,96.9,199.5,87,46,61
27,54.3,152,126,30.7,50
49,69.3,182.7,72,53.8,59
33,53.6,172.1,122,48.6,47
25,60.5,197.4,72,35.8,75
55,61.5,162.3,136,36.5,72
29,73.5,176.6,60,37.9,53
41,63.4,174.1,99,47.3,62
45,55,185.1,96,46.4,84
25,58.4,153.4,90,38.2,76
45,57.4,159.7,175,50.8,63
53,98.7,160.7,76,56.7,49
43,88,186.9,68,31.3,50
25,98.4,159.5,168,42.5,56
45,72,178.7,123,47.8,61
45,63.9,160.8,116,47.6,83
54,89.9,193.1,72,30.6,51
58,66.3,197.1,96,36.3,55
53,65,175.9,73,31.9,78
44,61.6,167.6,134,47.1,46
34,56.5,161.7,84,49.4,58
26,62.8,152.5,154,34.8,62
50,67.8,163.4,137,40,53
37,83.7,182.7,116,39.9,83
30,53.1,176.7,130,54.6,48
45,60.5,197.2,147,35.8,58
46,90.5,169.8,172,46.4,55
30,57.3,184.7,159,53.5,74
52,67.1,174.5,101,54.9,84
23,93.2,175.6,101,50,71
35,57.7,163.4,106,39,73
22,54.1,172.7,175,54.7,76
42,74.2,173.5,103,52.3,74
19,65.1,185.3,100,51.1,70
27,78.2,197,62,32,74
47,90.2,166.5,170,31.3,54
22,56.9,152.1,167,50.9,56
50,79,174.8,149,58.3,77
18,75.3,177.2,170,53.2,78
35,57.2,158.4,149,54.9,62
49,81.2,188,60,46.3,83
28,63.7,199.2,138,39.1,60
38,74.4,197.3,70,50.3,48
43,54.1,159.9,160,51.4,54
42,73,193.8,66,50.3,72
39,65.3,185.2,71,58.4,62
44,91.1,172.7,175,41,53
30,52.8,177,97,31.2,66
50,70.9,192.5,113,57.3,54
51,72.9,174,126,34.8,84
58,86.3,168.7,165,50.9,67
52,78.7,174.7,112,56.2,57
18,83.4,179,149,39.3,68
38,88.9,159.5,177,54.9,57
23,93.1,195,153,40,69
45,65.7,183.7,91,53.8,73
34,76.9,181.7,159,32.1,60
22,92,155,104,49.7,84
48,99.5,180.2,110,50.3,50
22,94.5,156,96,44.7,52
55,68.6,153.9,178,50.6,78
20,59.8,176.4,118,57.7,62
40,74.5,170.1,113,52,76
54,87.1,179.4,77,58.8,54
54,74.6,154.5,60,43.5,78
27,74.2,171.5,176,45.8,67
27,91.9,158.7,80,37.9,63
36,68.1,199.4,87,59.6,64
34,93,178.1,171,31.7,78
38,70.3,184.4,75,40.8,82
31,66.4,166.3,107,38.9,61
26,72.7,154.7,87,41.6,49
18,88.1,198.8,81,57.5,46
30,56.3,164.3,142,41,78
21,59.8,171.2,171,57.5,64
18,97.6,182.5,60,42.7,46
57,58.8,151.2,154,55.6,72
49,78.4,190.5,175,45.7,62
51,79,176.8,175,39.3,83
45,74.5,163.9,101,43.5,79
48,82.2,153.1,157,42.7,59
25,61.5,158.1,169,37.8,83
56,77.6,194.8,163,38.7,84
43,68.6,184.3,129,35.6,83
51,83.1,162.5,151,40.1,47
20,57.1,153.3,62,48.7,63
29,78.5,184.5,154,41.6,67
18,59.3,178.6,139,51.4,63
22,63.9,170.2,140,59.6,62
47,60.9,168.2,103,41.3,74
47,59.1,160.8,86,43.9,83
34,91.3,183.5,110,34.9,63
40,64.3,198.5,83,41.8,49
32,96.4,158.8,79,51.8,57
54,98.5,179.9,91,36.5,78
38,78.6,171.2,158,35.5,68
31,57.2,172.3,72,41.3,62
19,68.7,162.7,171,54.6,48
28,89.9,191.3,102,48.7,80
56,68.4,174.3,79,58.7,52
55,54.4,177.2,171,57.1,45
51,77.8,165.2,175,34.5,82
55,92.3,159.1,61,31.3,80
51,89.8,154.3,127,42,82
35,58.8,185.7,150,45.7,57
47,83.6,159.8,119,45.5,66
32,61,184.5,148,34,73
44,60.9,169.5,63,33.7,53
51,93.7,170.8,155,31.4,71
55,62.5,173.5,76,55.5,48
50,63.2,168.4,60,58.4,84
41,50,155,92,33.5,61
32,93.5,165.5,89,36.4,81
47,89.6,183.2,64,32.7,47
59,81.4,183.3,177,56.3,48
34,87.5,164.3,71,58.8,84
22,57.6,173,161,37.9,60
46,72.9,159.7,91,39.1,55
21,67.6,160.5,97,40.9,71
27,54.7,151.2,76,45.1,70
34,74.3,194.8,117,50.5,75
27,96,160.5,177,45.1,78
34,52,161.4,168,58.5,52
37,64.6,164,99,33,83
41,60.4,156.4,155,54,45
22,61.9,182,83,40,46
51,95.4,153.8,71,41.3,71
23,73.4,156.7,170,51.3,47
19,73.3,182.2,154,57.9,78
30,88,167,78,51.5,60
28,57.7,185.4,88,53.3,45
40,74.4,177.9,144,52.5,51
33,71.5,162.8,149,39.6,79
48,79.8,182.5,111,52.7,66
28,100,155.8,151,53.5,76
33,88.5,176.8,76,46,70
25,69.9,171.9,132,46.1,50
21,91.4,163.4,80,52.8,55
57,58.5,180.2,173,54.5,75
21,51.5,193.6,119,40.1,65
42,60.2,199.9,157,54,66
20,67,180.4,134,54.4,45
49,75.5,170.2,178,37,65
20,80.8,161.3,79,51.5,64
44,95.5,162.9,172,35.6,53
46,75.5,174,112,32.8,71
49,75.1,168.4,173,47.2,73
36,52.5,195.7,170,57.3,77
38,51.7,168.4,162,31.1,45
22,77.6,168.7,139,54.8,47
35,71.9,169.2,122,45.2,76
45,92,191.8,116,55.8,64
59,58,182.5,88,55.3,61
39,51.2,180.7,60,56.3,81
38,72.5,166.7,141,53.1,82
23,61.9,190.9,118,55.3,54
18,52.5,151.9,123,35.3,73
22,86.2,193.5,145,39.1,76
58,55.6,175.6,131,37.3,57
29,80.4,169.9,130,52.3,75
43,64.1,174.9,148,34.6,48
51,58.7,183.4,153,35.5,62
31,69,150.6,157,56.4,55
43,90.1,193.6,103,51.2,62
44,69.6,172.3,107,56.3,81
26,87.5,167.1,164,34.2,77
43,56.3,156.9,175,42,81
39,88.6,172,134,38.5,47
47,61.8,174.8,74,30.3,45
34,83.9,170.2,94,38.5,63
43,78.3,183.9,82,41.4,50
53,96.5,171,112,32.8,54
18,69.4,198.1,104,47,81
25,53.3,180,144,41.5,56
52,51,190.4,151,31.4,61
32,91.3,155.5,72,51.1,71
39,76.2,169.9,93,51.9,46
31,88.8,166.8,97,55,69
43,61.7,178.5,129,44.6,72
45,67.3,193.1,167,59.1,81
40,51.5,153.9,127,57.4,81
31,98.1,153.6,64,46.5,61
41,83.4,192.5,178,43.3,49
19,96.7,160.6,99,30.1,63
43,63.3,183.4,129,51.3,48
31,80.6,177.1,80,46.9,83
24,83.9,191.6,87,58.1,82
