age,height,weight,heart_rate,workout_type,workout_duration
48,190,112,136,Yoga,75
50,197,87,148,Yoga,93
44,170,84,140,HIIT,65
19,190,115,156,Cardio,36
21,188,83,139,HIIT,79
54,184,115,138,Cardio,51
58,165,63,179,HIIT,69
36,165,83,122,Cardio,70
31,166,79,175,HIIT,21
56,177,65,91,Strength,58
26,151,82,90,HIIT,113
55,160,62,141,Yoga,70
49,152,102,113,Cycling,24
33,153,73,118,Cardio,113
48,186,73,94,Cardio,80
46,156,93,168,Strength,108
59,188,74,110,Strength,62
40,195,88,139,Yoga,91
51,163,90,89,Running,113
49,188,107,106,Cardio,61
50,185,100,129,HIIT,58
23,185,90,113,Yoga,55
23,170,99,81,Cardio,113
59,174,86,146,Cycling,68
39,174,116,100,Cycling,55
39,192,81,133,Strength,89
27,184,93,133,Strength,20
45,181,92,80,Cycling,93
35,174,65,148,Yoga,32
22,183,70,177,Running,119
47,187,93,97,Cardio,56
29,185,90,164,HIIT,117
24,173,117,145,Cardio,82
39,189,50,150,HIIT,78
26,157,114,152,Cycling,71
29,157,73,169,Cycling,37
29,173,100,136,HIIT,47
21,150,50,179,Yoga,108
43,193,66,151,HIIT,51
46,172,85,122,Running,66
48,187,74,153,HIIT,111
35,195,70,128,Running,65
54,183,57,152,Cycling,42
32,176,76,174,Running,11
59,162,90,81,HIIT,118
44,156,63,177,Strength,92
58,150,92,174,Running,78
29,160,88,82,Strength,76
34,176,59,145,HIIT,13
56,171,106,120,Strength,14
39,151,98,118,Yoga,40
50,161,106,95,Cardio,49
20,161,91,138,Cycling,97
23,193,78,102,Yoga,53
52,187,97,95,Cardio,49
34,194,77,168,HIIT,88
21,163,104,88,Cycling,102
43,197,90,149,Running,75
20,168,54,136,Yoga,110
35,168,50,115,HIIT,50
32,157,85,173,Strength,23
53,196,54,104,Cycling,25
41,163,118,165,Cycling,56
39,192,64,154,Yoga,81
54,172,111,147,Running,93
18,191,52,170,Cardio,64
25,176,62,145,Strength,36
38,164,66,141,Running,25
56,186,63,93,Strength,22
49,167,117,117,Running,96
47,196,106,91,Cardio,16
59,195,109,103,Cardio,64
56,178,107,131,Cardio,78
32,172,50,144,Cycling,110
39,166,92,163,Cycling,50
28,164,66,115,HIIT,32
48,161,55,156,HIIT,106
51,170,73,113,Running,36
57,195,105,125,Strength,113
58,152,76,176,Cardio,98
38,188,88,83,HIIT,112
34,164,83,174,Strength,49
51,189,90,130,Cardio,84
25,177,105,111,Yoga,70
55,184,57,129,Cardio,33
24,162,88,116,Strength,15
31,188,92,142,Cycling,82
53,175,72,143,Yoga,115
44,183,54,98,Strength,61
20,169,79,96,Cycling,112
20,179,90,148,Running,81
34,152,50,164,HIIT,109
25,178,118,82,Yoga,112
20,178,95,142,Running,14
52,192,77,151,Yoga,110
46,180,66,132,Running,25
20,187,62,97,Cycling,10
54,192,66,135,Cycling,82
24,156,84,93,Cycling,10
46,164,80,122,HIIT,11
28,161,69,111,Strength,102
34,152,101,83,HIIT,105
45,199,93,140,Yoga,62
33,177,117,110,Cardio,45
56,162,74,101,HIIT,100
42,169,62,101,HIIT,103
52,176,64,133,Strength,106
21,164,73,128,Cycling,37
42,157,93,154,Running,15
21,199,101,81,Strength,55
48,191,50,129,Cycling,48
51,181,61,101,Strength,74
19,188,59,82,Running,85
31,190,109,84,HIIT,63
51,182,85,85,Running,115
41,168,65,162,Cardio,33
24,197,117,151,Cardio,59
43,190,95,93,Cardio,103
27,185,114,121,HIIT,64
53,167,70,142,Strength,84
44,193,118,171,Cardio,45
55,157,98,114,Yoga,63
22,189,89,82,Cycling,28
45,162,87,168,HIIT,59
33,186,101,85,HIIT,50
55,188,90,82,HIIT,54
44,176,86,106,Running,87
30,180,78,90,Strength,90
31,182,115,136,Running,53
44,181,60,101,Strength,113
54,166,57,152,Strength,95
32,169,79,169,Yoga,44
56,192,79,89,Yoga,19
29,183,58,114,Yoga,16
18,176,60,178,Yoga,34
33,158,96,133,Cycling,23
48,173,99,105,Cycling,11
57,189,85,117,Cycling,51
40,190,52,177,Cardio,30
52,154,58,108,Cardio,76
52,166,59,109,HIIT,68
23,167,85,127,Cycling,33
50,199,50,123,Yoga,48
24,188,82,133,Cycling,65
46,161,97,142,Cycling,89
42,193,102,171,Cardio,107
57,175,51,141,Running,112
29,198,116,154,Yoga,49
36,198,79,171,Running,26
28,198,111,135,Cycling,59
47,160,107,131,HIIT,92
31,185,104,156,Cycling,26
43,187,100,172,Cycling,17
18,168,114,161,Running,88
29,185,108,147,Cardio,22
47,166,65,106,Yoga,13
28,184,73,113,Cardio,89
18,182,95,99,Running,28
37,158,51,124,HIIT,36
59,172,53,128,Strength,115
21,162,91,160,Cardio,110
51,155,100,178,Cardio,35
33,164,71,116,Cardio,39
37,163,117,123,Cardio,47
37,167,90,142,Yoga,82
38,150,67,131,Running,66
19,168,117,151,Yoga,19
35,169,109,136,HIIT,16
53,165,55,140,Cycling,96
31,157,61,165,Yoga,68
19,173,75,84,HIIT,29
58,176,118,122,Yoga,64
52,198,116,100,Running,107
56,183,76,154,Strength,85
59,164,101,154,HIIT,76
31,183,89,94,Cardio,112
52,180,92,160,Cardio,57
34,184,88,173,HIIT,11
35,151,109,176,Cardio,70
52,192,105,168,Strength,101
26,191,51,142,Running,34
34,172,83,127,Running,68
19,179,119,167,Yoga,79
54,180,103,84,Strength,59
27,169,113,167,HIIT,33
37,190,85,172,Yoga,53
42,154,61,115,Running,68
47,199,101,176,HIIT,89
45,192,112,131,Cardio,96
53,189,53,118,Strength,45
57,156,57,139,HIIT,37
45,178,68,81,HIIT,29
34,157,107,122,Running,29
29,198,62,103,Running,35
27,172,65,169,Strength,95
18,168,93,178,Cardio,15
36,154,112,96,Cycling,101
51,182,63,167,Strength,114
58,195,52,168,Running,94
19,170,83,103,Cycling,88
39,188,54,104,HIIT,22
20,161,63,128,Cardio,31
49,157,103,179,Cardio,45
46,182,73,103,Strength,88
44,150,64,145,HIIT,78
56,166,56,157,Strength,85
44,175,96,133,HIIT,78
47,187,78,96,Cardio,100
35,188,114,97,Cycling,38
32,164,97,87,Cycling,63
41,165,112,157,Cycling,55
22,180,57,119,Running,99
34,156,73,120,Cardio,78
24,172,104,102,Cardio,41
18,168,113,140,HIIT,100
46,157,54,137,Cardio,26
32,172,72,166,Yoga,56
20,162,57,105,Running,31
40,176,58,168,Yoga,42
53,192,111,139,HIIT,92
44,153,108,84,Running,79
36,188,81,147,Yoga,11
43,157,102,99,Cycling,67
39,154,63,161,Yoga,19
22,178,57,128,Running,46
59,156,112,114,Cardio,57
29,196,103,88,HIIT,108
35,165,53,171,Running,25
52,195,116,121,Running,100
20,182,107,125,HIIT,45
51,178,109,112,Cardio,104
41,183,104,100,Cardio,15
35,162,75,104,Strength,50
30,185,56,150,Cycling,33
34,152,103,131,Yoga,29
20,171,95,169,Yoga,38
58,189,111,171,Strength,79
37,197,82,136,HIIT,75
46,179,95,123,Running,114
38,172,112,128,HIIT,39
30,183,105,106,Cardio,109
32,185,114,86,Yoga,88
30,171,107,121,HIIT,101
32,180,68,126,Cycling,88
57,174,104,86,Cardio,13
19,157,94,146,Strength,24
20,188,118,172,Running,112
55,151,80,156,Strength,85
55,159,69,141,Cardio,86
28,187,105,96,Cardio,54
54,196,105,102,Running,24
49,196,78,176,Cycling,13
29,178,99,153,Cycling,97
18,163,87,83,Cycling,60
56,184,90,119,Running,31
31,186,89,178,Cardio,29
23,160,65,167,Cardio,43
25,150,79,152,HIIT,75
44,197,109,177,HIIT,116
51,180,71,117,HIIT,13
57,158,77,86,Running,54
44,162,82,86,Running,85
56,152,95,157,Running,111
21,158,53,169,Strength,12
47,192,51,166,Cardio,68
53,194,112,99,Cardio,40
24,165,83,143,Cardio,117
38,165,70,154,Strength,110
25,182,88,115,Strength,74
31,155,80,131,Running,21
22,184,114,124,Running,61
30,168,116,105,Yoga,113
57,153,115,123,Cardio,99
50,191,51,88,Cycling,98
50,179,97,151,Strength,108
31,174,63,143,Cardio,84
49,168,56,140,Cycling,90
48,199,54,120,Yoga,84
26,194,104,128,HIIT,89
32,164,116,92,Running,79
49,160,60,159,Running,112
58,178,96,162,Cardio,105
46,165,71,131,Yoga,46
24,185,93,175,Cycling,47
32,171,93,155,Cycling,36
18,155,102,90,HIIT,20
44,190,108,151,HIIT,99
45,169,56,114,Yoga,53
30,154,94,147,Strength,59
51,171,81,96,Yoga,93
32,165,89,122,Running,10
53,169,84,92,Strength,16
33,165,112,173,HIIT,24
23,174,98,82,HIIT,98
20,182,64,97,Yoga,36
39,199,106,141,HIIT,23
20,180,113,172,Strength,89
54,187,96,162,Cardio,96
57,166,94,172,Running,110
57,184,96,150,Cycling,96
36,165,112,99,Running,64
45,168,73,175,Cycling,32
52,154,55,121,Cardio,78
28,158,101,172,HIIT,37
40,176,50,91,Running,44
19,198,71,126,HIIT,39
55,151,78,119,Strength,96
50,177,59,134,Cycling,67
43,165,79,103,HIIT,24
42,177,77,126,Cardio,98
55,178,93,100,Cardio,75
58,192,71,148,Strength,59
29,199,53,161,Running,29
58,155,71,148,Cycling,76
52,169,80,122,Cycling,17
51,191,87,124,Running,24
53,194,91,109,Yoga,47
44,163,117,96,HIIT,61
28,175,101,123,Yoga,86
18,154,69,121,Yoga,59
36,198,65,89,HIIT,73
22,185,97,115,Cycling,17
23,191,92,138,HIIT,13
50,178,117,139,Strength,37
34,175,64,90,Running,70
30,163,54,89,Strength,65
31,184,99,113,Running,13
21,193,117,166,Strength,22
19,171,107,114,Cycling,85
47,179,104,148,HIIT,32
41,188,50,136,Yoga,72
29,183,108,114,HIIT,22
52,181,75,94,Cycling,21
45,178,64,158,Cycling,71
31,199,77,154,Yoga,107
50,184,118,125,Cycling,111
20,157,109,127,HIIT,93
20,194,57,158,Yoga,75
50,184,50,141,Running,99
46,175,83,133,HIIT,55
19,198,113,163,Yoga,83
57,153,103,92,Cycling,44
31,165,105,117,Yoga,21
24,192,111,126,Yoga,105
21,185,112,107,Cycling,109
30,151,71,81,Strength,70
35,197,99,81,Cardio,90
24,152,62,124,Cardio,37
33,190,107,170,Cardio,91
29,177,76,110,Strength,73
31,155,91,101,Cycling,104
23,177,116,96,Cycling,12
53,178,103,104,Running,116
30,186,59,144,Yoga,16
29,169,97,173,Strength,67
29,188,51,86,Running,105
36,156,86,116,HIIT,103
56,161,79,86,Strength,39
29,150,104,117,HIIT,84
44,177,110,80,Cycling,95
52,173,94,91,HIIT,109
22,183,115,166,Running,51
56,187,70,99,Running,58
39,164,113,159,Cardio,95
29,166,100,103,Running,49
32,187,90,115,Running,104
23,184,73,163,Cycling,107
56,198,59,143,Strength,64
53,169,62,110,HIIT,65
37,185,99,105,Strength,93
56,164,76,95,Yoga,68
40,191,92,152,Cycling,66
28,173,83,148,HIIT,21
47,166,64,121,Cardio,77
56,183,78,156,Yoga,12
27,177,103,155,Running,88
56,189,97,108,Cardio,66
46,192,100,129,Yoga,110
37,165,82,146,Cycling,84
32,164,83,137,Running,39
57,170,54,150,Strength,68
58,166,95,128,Cycling,108
53,186,81,130,Yoga,23
49,187,51,145,Cardio,105
20,172,78,130,Cycling,36
27,197,81,93,Strength,78
50,192,114,154,HIIT,89
50,178,92,166,Running,73
25,150,79,131,Running,79
18,175,115,132,Yoga,54
56,197,52,90,Cardio,60
58,194,67,118,HIIT,36
20,174,70,151,HIIT,67
43,178,112,95,Cardio,92
29,159,55,97,Cycling,100
27,175,99,124,Cycling,77
26,188,80,102,Yoga,13
29,159,82,156,Strength,61
28,151,58,129,Strength,16
59,166,114,81,HIIT,103
59,150,74,177,Yoga,94
30,160,85,81,Cardio,15
25,166,95,144,Yoga,31
27,172,119,150,Cycling,105
56,183,53,177,Yoga,35
55,191,90,164,Running,11
21,156,52,123,HIIT,100
20,158,76,173,Cycling,95
48,157,96,119,HIIT,116
25,179,68,146,Strength,73
47,156,119,107,Cardio,63
33,168,81,88,Running,76
51,176,56,88,Yoga,96
35,153,105,128,Yoga,67
46,190,117,154,Strength,39
46,160,105,112,Strength,62
47,150,95,96,Cardio,103
38,153,76,124,Running,16
32,198,119,135,Cardio,20
51,199,60,146,Running,109
19,184,54,112,Running,79
19,195,115,173,Running,68
33,152,73,80,Running,16
46,187,51,110,HIIT,102
22,199,60,91,Strength,63
19,195,100,108,Cardio,79
52,197,109,84,HIIT,29
37,162,56,135,Running,94
30,196,74,162,Strength,28
50,197,100,161,Strength,33
29,150,102,85,Yoga,82
39,181,62,171,HIIT,119
55,183,61,84,Cardio,75
41,181,80,164,Cycling,107
55,152,71,84,Cardio,72
54,196,96,100,Running,95
32,199,116,144,Yoga,74
23,188,91,161,Running,106
31,182,72,126,Running,69
42,193,115,116,Yoga,80
18,187,78,96,Strength,73
24,152,92,103,Strength,112
54,195,53,135,Cardio,37
52,160,91,81,Running,105
33,195,77,83,Yoga,19
25,187,91,125,HIIT,42
49,169,95,86,HIIT,48
30,188,53,87,Yoga,80
43,150,80,84,Cycling,41
47,152,96,143,HIIT,44
38,152,81,157,Cycling,113
48,193,75,171,Yoga,39
42,185,69,113,Strength,53
49,164,112,80,Cardio,109
27,164,115,142,Cardio,68
44,168,60,159,Cycling,57
19,150,112,159,Cardio,86
52,156,83,136,Running,36
29,186,83,178,Running,56
51,192,99,122,Cardio,42
30,199,50,95,Cardio,58
50,164,68,157,Yoga,77
30,168,94,172,Cycling,26
57,180,98,104,Yoga,40
52,183,87,95,Cardio,97
47,190,69,80,Yoga,114
19,183,55,98,Cardio,114
32,159,115,82,Cardio,115
35,195,100,133,HIIT,99
34,152,96,164,Yoga,15
54,199,79,92,Cardio,96
33,199,107,99,HIIT,90
33,169,67,178,Cycling,111
49,186,106,139,Yoga,49
48,152,116,167,Cycling,40
40,187,53,138,Yoga,83
28,163,117,142,Strength,65
56,174,108,115,Cardio,98
46,183,108,91,Yoga,116
27,167,51,96,Strength,111
19,171,102,121,Yoga,33
56,176,56,137,HIIT,46
43,195,64,144,HIIT,44
45,160,52,158,Cycling,86
39,175,83,127,Cardio,79
45,195,77,88,Strength,116
36,189,68,143,Cardio,33
30,170,106,119,Cardio,29
24,196,90,163,Strength,45
25,150,113,103,Cycling,56
25,172,110,94,Running,33
43,155,113,140,HIIT,32
30,160,71,87,HIIT,84
29,165,53,93,HIIT,106
41,154,80,138,Cycling,20
53,188,98,142,Yoga,39
43,178,64,141,Strength,42
58,163,91,145,Yoga,67
53,169,77,160,Strength,65
55,167,110,103,Cycling,56
54,184,109,169,HIIT,63
24,189,69,161,Running,110
58,180,88,155,Strength,35
46,172,113,111,Cycling,87
45,185,92,144,Strength,46
57,160,117,139,Running,92
21,195,111,107,HIIT,65
57,196,56,90,Running,81
34,188,100,113,Cycling,24
48,179,101,136,HIIT,106
24,167,72,81,Strength,59
42,151,71,153,Strength,79
46,161,83,165,HIIT,100
52,170,72,85,Cardio,99
45,157,88,178,Yoga,103
48,169,94,130,Running,68
58,162,105,156,HIIT,58
54,190,102,135,Strength,52
28,159,63,148,Yoga,105
18,188,86,129,Cycling,119
37,169,105,126,Running,53
45,182,56,169,Cardio,22
52,189,69,119,Running,12
26,178,115,178,Running,99
48,193,88,142,Cardio,24
35,154,117,154,Strength,103
38,172,71,158,Running,46
31,192,68,127,HIIT,19
56,161,73,82,Cycling,76
38,164,87,88,Strength,32
19,177,115,165,Running,119
45,168,69,81,Running,30
58,183,111,96,Cardio,114
52,186,110,160,Yoga,78
23,195,86,84,Strength,69
25,196,80,129,Running,118
51,168,104,95,Cardio,47
48,160,83,96,Cardio,89
20,156,63,132,Yoga,78
19,188,91,166,Cardio,95
28,191,60,168,Running,82
18,168,80,175,Cardio,43
57,186,83,142,Yoga,89
36,151,108,116,Strength,108
54,169,55,122,HIIT,15
36,195,74,82,Yoga,103
21,189,111,116,Strength,25
38,187,74,91,Running,88
35,174,119,148,Running,49
21,160,69,101,Cycling,68
31,154,51,106,Cardio,113
27,195,106,109,Cycling,102
35,167,94,130,Cycling,101
47,196,76,114,Running,81
32,189,94,167,Cardio,14
22,177,71,165,Yoga,79
28,164,81,148,Cardio,68
23,187,61,87,Cycling,21
24,162,84,92,Running,33
38,196,81,177,Cardio,119
31,172,52,127,Yoga,88
34,150,85,86,Running,105
51,153,88,170,Running,58
18,190,113,148,Running,93
26,157,100,112,HIIT,14
55,184,84,125,Strength,65
51,169,94,142,Cardio,75
32,188,74,94,Strength,108
57,163,87,145,HIIT,40
40,168,101,92,HIIT,94
46,176,105,146,Running,15
25,195,115,154,Cycling,48
19,157,69,171,HIIT,88
22,160,117,130,HIIT,21
58,177,116,161,Cycling,111
26,186,70,87,Cardio,18
58,195,114,104,Cardio,110
42,153,87,170,Yoga,87
36,160,76,111,Strength,69
22,152,112,85,Yoga,42
