age,height,weight,heart_rate,vo2_max,workout_duration,workout_type
41,61.1,157.6,166,45.4,118,Strength
49,76,183.3,148,38.3,68,Strength
39,80.4,164.2,100,46.8,99,HIIT
40,62.3,179.3,94,52.1,66,Strength
19,52.9,179.3,152,32.4,110,Yoga
44,69.6,172.3,164,45.5,69,Yoga
59,61.7,191.8,152,48.5,108,HIIT
19,61,163.2,135,38.9,45,Yoga
43,98,172.4,158,58.6,75,Strength
34,80.8,176.9,143,45.6,97,HIIT
57,77.8,183.2,140,35.5,33,Strength
50,70.8,189.2,176,33.2,97,Yoga
26,71.4,169.7,135,46.2,44,Strength
56,77,182.3,109,41.3,119,HIIT
46,84.8,157.5,159,35.8,23,Strength
59,85.1,196.6,133,30.9,98,Yoga
43,58.6,169.2,141,47,51,Cardio
52,75,186.5,89,48,101,HIIT
42,70.6,151,131,34.3,97,Strength
41,93.5,160.3,164,48.1,84,HIIT
30,81.6,174.4,174,58.6,80,Strength
24,76.6,193.9,136,59.3,39,Cardio
53,55.8,176.4,154,56.7,93,Yoga
37,80.3,196.5,129,54.2,29,Strength
18,55.9,174.2,113,36.3,107,Strength
25,66.9,174.5,130,34.7,53,Cardio
33,57.1,156,144,43.3,80,HIIT
31,84.6,190.1,161,48.6,111,Yoga
29,60.3,162.3,166,55.5,46,Strength
40,69.6,195,172,37,59,Strength
32,94.8,195.5,110,44.4,84,Yoga
45,60.2,197.2,87,49.4,52,Cardio
51,75.4,176,123,43.4,87,HIIT
19,71,183.9,167,43.6,90,Yoga
49,50.9,188.9,144,36.8,28,HIIT
40,89.6,156.6,80,59.6,35,Cardio
39,53.5,180,147,44.3,24,Cardio
42,73.7,151.7,86,46,117,Yoga
39,78,174.9,86,36.6,42,Strength
39,81.4,157.7,136,45.4,62,Cardio
59,84.4,159.1,109,37.7,108,Cardio
23,62.7,168.3,88,36.1,76,Yoga
32,50.5,171.6,98,38.3,70,Yoga
54,86.2,181.2,116,30.1,32,Yoga
50,76.8,153.7,178,47.1,43,Cardio
25,91.8,175.2,151,41.6,30,HIIT
22,91.1,159.1,96,57,71,Cardio
56,92.2,178.7,152,31.2,36,Yoga
21,74.3,181.9,123,31.3,56,Strength
23,66.7,177.8,107,56.6,32,Strength
49,89.6,186.9,81,33.8,81,Yoga
47,72.6,166.8,159,30.1,110,Strength
52,59.2,188.3,89,35.4,103,Cardio
57,92.7,171.6,87,54.7,116,HIIT
33,94.1,174.2,82,54.1,115,Cardio
30,73.3,182.4,156,40.2,27,Yoga
59,53.8,150.9,63,50,75,Cardio
47,69.4,182.7,62,45.2,112,Strength
36,90.2,180.9,120,57.1,102,Cardio
34,95.1,165.5,155,31.7,89,HIIT
36,60.2,154.3,63,54.4,63,Strength
45,53.3,154.5,124,35.1,79,HIIT
43,93.9,196.2,71,41.7,60,HIIT
54,69.5,184.5,72,35.8,40,HIIT
43,77.1,156.4,93,51.1,105,Cardio
40,98.4,167.8,118,50.3,61,Cardio
26,53.3,179.6,152,46.4,93,Cardio
29,82.4,191.8,132,50.9,93,Cardio
18,53.7,152.2,90,49.2,48,Strength
18,68.8,161.8,130,53.3,99,Cardio
51,90.2,194.5,72,37.2,84,Strength
49,71.7,150.5,113,42.9,36,HIIT
42,99.9,160.1,61,34.5,49,Strength
57,78,198,92,42.9,45,Yoga
18,66.1,180.7,109,51.1,72,Cardio
33,61,163.1,66,50.7,38,Yoga
56,67.5,153.3,77,51.3,72,Strength
22,68.6,151.4,110,39.3,104,Cardio
39,53.4,162.2,67,49.9,36,Yoga
46,68.5,194.1,114,41,65,Cardio
20,73.2,170.8,135,58.3,104,Strength
29,86.1,186,102,40.3,72,Yoga
43,82.8,195.9,118,48.1,83,Strength
33,85.4,170.4,89,52.5,64,Yoga
54,50.4,159.6,118,57.2,68,HIIT
39,60.9,175.9,68,43.1,38,HIIT
46,83.1,195.4,151,40.8,90,HIIT
31,74.2,190.2,127,42.9,100,HIIT
45,50.3,153.3,98,39.7,84,HIIT
22,90.2,184.6,140,49.6,56,Strength
47,88.6,178.6,70,58,89,HIIT
22,77.4,195.4,61,33.8,45,Strength
29,53.3,156.1,82,46.8,21,HIIT
33,88.3,176.7,122,56.9,78,Cardio
43,79.2,194,173,33,115,HIIT
43,89.1,170.5,81,44.8,24,Cardio
38,87.6,174.1,120,56,56,Strength
56,90.2,153.5,85,57,50,HIIT
53,75.9,163.9,71,45.4,95,Yoga
50,57,166.2,91,30.7,118,Strength
47,83.6,197.3,68,33.2,113,HIIT
54,81,164.1,166,47.6,67,Strength
40,87.1,173,128,33.7,25,Yoga
27,58.5,183.6,149,34.5,34,HIIT
22,59.7,158.1,130,53.2,34,Yoga
53,94.5,174.3,152,52.5,80,HIIT
51,87.5,186.9,92,55.3,35,Cardio
48,95.4,193.3,83,33.2,39,Strength
27,87.9,181.3,148,35.9,96,Yoga
36,79.9,183.5,154,55,63,Strength
49,82.7,156.3,152,51.6,61,Yoga
18,94.5,197.3,128,54.2,65,Strength
22,78.9,156.6,97,59.7,114,Strength
21,81.6,188.7,168,55.9,53,Strength
33,57.8,163.2,70,45.6,83,Cardio
41,73.7,196.7,91,39.3,48,HIIT
33,85.8,186,123,47.1,22,Cardio
19,63.5,187.7,131,49.2,28,Strength
45,60.1,161,79,40.1,94,Yoga
49,65.7,172.2,93,53.1,94,Strength
44,62.1,180.9,170,32.8,44,HIIT
37,60.7,188.5,101,53.4,105,Cardio
41,71.2,155.2,67,31,61,HIIT
29,95.4,198.1,125,44.9,65,Yoga
52,75.4,194.5,80,55.8,92,HIIT
50,59.4,163.5,138,32.6,103,Cardio
50,53.8,191.1,129,45.5,78,Yoga
54,84.8,175.9,64,34.8,40,HIIT
29,69.1,173.1,177,56.8,93,Cardio
20,91.1,165.7,177,55,41,Cardio
18,83,179,126,58,48,Strength
50,89.8,186.5,166,56.2,82,HIIT
57,63.6,170.5,102,52.1,92,Yoga
27,84.6,181.5,75,35.5,80,Strength
46,63.2,185,158,39.1,83,HIIT
30,97,185.6,132,44.9,88,HIIT
29,81.8,152.6,94,47.7,59,Yoga
48,66.2,193,142,53.5,94,Strength
19,63.5,172.9,102,36.8,20,Strength
52,59.5,163.1,169,33.8,84,Yoga
40,84.7,162.1,157,44.5,81,Strength
34,60.9,174.2,98,34.7,73,Cardio
43,79.8,194.3,69,50.8,79,Yoga
25,63.2,168.9,133,47.3,65,HIIT
46,83.1,187.5,79,52.2,24,Yoga
43,90.7,154.8,60,31.9,41,Cardio
27,88.9,173.8,65,58.9,109,Yoga
43,88,199.6,112,30,72,HIIT
51,59.4,188.5,105,39.8,89,HIIT
58,54.4,160.5,125,50.4,51,Yoga
24,84.9,175.1,97,31.4,30,Yoga
21,68.4,161.7,92,32.5,29,Cardio
28,71.6,170.5,126,32.3,58,Cardio
46,51.6,189,159,47.4,117,HIIT
53,63,188.6,136,56.9,50,Strength
42,51.7,161.4,94,46.7,31,Strength
38,94,196.1,138,48.1,99,Strength
53,62.2,179.6,104,40.4,57,Strength
27,77.9,169,81,30.6,86,HIIT
54,51.9,175.1,166,30.6,85,Strength
26,83.3,180.3,127,56.6,71,Strength
41,66.2,178,76,33.1,24,Yoga
52,94.9,174.3,64,60,30,Strength
52,94.4,175.2,144,34.9,44,Yoga
53,66.3,158.8,116,50.2,54,HIIT
35,95,190.6,147,58.5,54,Yoga
56,99.8,177.1,154,40.9,41,Cardio
49,91.3,156.6,99,52,56,Yoga
41,92.2,188.3,176,40.5,105,Strength
40,62.5,196.6,179,39.1,74,Yoga
49,78.8,197.4,89,36.1,94,Yoga
54,53.4,168.5,101,54.6,115,HIIT
29,54.7,156.8,66,37.7,118,HIIT
30,99.9,175.9,172,38.5,114,Strength
40,66.3,155.6,130,60,91,Cardio
42,87.4,196.7,150,39.8,83,Cardio
52,90.3,159.2,147,42.7,39,Yoga
58,92.9,162.6,78,59.7,117,Cardio
47,99.9,170.3,100,41.1,23,HIIT
34,62.1,169.2,179,41,37,Strength
37,52,189.7,93,54.8,70,Strength
42,70.6,172.8,81,39.4,87,HIIT
39,56.5,158.5,111,37,39,Strength
30,51.1,163.4,174,42.7,28,Yoga
36,68,175.5,150,51,99,Strength
53,89.2,157.4,65,31.3,45,Cardio
29,78.3,180.6,133,41.2,44,Strength
58,65.6,178.3,168,40.4,87,Strength
36,82.7,185.7,154,37.3,60,HIIT
29,61.6,196.9,84,49.6,78,HIIT
26,50.7,195.6,125,38.7,64,Cardio
24,88.2,197.3,69,48.2,60,HIIT
45,81.2,162.2,133,45.1,57,Cardio
31,88.1,156.6,85,36.5,38,Yoga
48,51.9,165.1,64,38,33,Cardio
36,91.9,194.8,145,35.1,40,Strength
33,81,198.6,127,31.7,34,Cardio
22,78.2,193,178,48.6,22,Yoga
52,81.2,155.5,157,50.2,56,Strength
29,93.2,197.4,130,35,65,Cardio
42,79.3,171.2,109,48.5,35,HIIT
38,79,150.5,76,59.5,33,HIIT
53,99.5,172.1,70,32.2,28,HIIT
40,87.8,152.3,112,44.7,26,Cardio
33,72.1,177.2,109,52,33,Cardio
56,85.4,166.9,67,31.4,25,Yoga
59,69.5,173.7,151,53.3,104,Strength
56,61.4,180.7,167,59.4,34,Strength
31,79.8,193.4,179,32.7,71,Strength
48,96.4,183.1,156,54.7,91,Strength
22,96.5,171.7,175,41.4,53,Cardio
52,67.1,191,121,34.3,20,Cardio
40,76.4,195.3,148,44.8,115,Yoga
46,60.6,156,144,32.1,88,Strength
28,99.8,176.6,135,45.7,113,Cardio
35,99.1,164.2,149,30.6,105,Cardio
29,82.5,152.4,88,51.9,39,Cardio
26,90.2,183.4,161,44.6,99,Cardio
27,85.8,193.1,158,43.8,26,Strength
34,79.7,158.1,160,35.9,26,Strength
55,52.7,190.6,169,40.8,69,Cardio
24,72.7,192.7,103,35.5,21,HIIT
30,83.7,195.7,168,52.1,66,Yoga
57,83.9,163.3,104,36,33,Strength
59,68.7,195.2,88,48.5,50,Strength
26,97.1,166,172,38.4,69,HIIT
44,58.4,177.6,147,49.7,80,Strength
19,75,152.5,118,46.2,60,HIIT
22,84.5,152.2,74,42.7,33,HIIT
46,84.9,186,129,50.2,24,Cardio
54,82.4,172.2,155,42.5,94,Strength
55,63.8,162.8,103,54.6,24,Yoga
36,57.8,159.5,157,51.9,83,HIIT
25,81.8,183.5,95,46.2,48,Yoga
18,80,150,143,56.3,94,Cardio
39,59,190.3,116,54.9,24,Strength
34,85.3,154,176,46,115,Cardio
24,72.8,159.6,123,32.1,55,Cardio
42,83.4,169.3,135,47,98,Yoga
21,91.9,174.2,158,40.7,38,Yoga
53,58.5,167.7,172,46.2,83,HIIT
23,51,166,97,49.4,41,Strength
48,89,198.2,179,49.3,53,Cardio
36,80.5,182.1,76,50.2,75,HIIT
56,85,151.2,86,50.4,36,HIIT
44,91.9,171.5,76,33.3,95,Cardio
27,90.1,193.8,122,35.8,108,Cardio
43,98,165.1,70,48.9,75,HIIT
36,76.8,154.7,123,42.2,36,Cardio
56,74.4,187.9,178,52.9,93,Cardio
20,70.1,180.3,98,33.7,111,Yoga
30,57.7,178.5,61,35.7,101,Strength
45,78.6,152.7,174,46.8,37,HIIT
37,63.9,157,125,45,64,Cardio
45,96.1,181.1,113,38,115,HIIT
25,79.2,160.4,88,42.3,97,Strength
58,79.6,175.2,104,31,75,HIIT
56,67.7,177.2,147,31.1,99,HIIT
18,52.6,164.2,147,32.8,69,HIIT
20,51.6,197.4,139,47.3,77,Yoga
30,71.2,192.1,90,55.9,37,Strength
45,54.2,186.1,108,37.8,99,Strength
42,80.3,153.9,166,31,100,HIIT
50,94,155.3,68,51.3,26,HIIT
55,94.1,174.6,86,55.7,95,Strength
23,83,158,115,34.1,117,Cardio
49,60.6,198.9,164,41.6,29,Yoga
38,93.1,157.9,137,34.8,88,Strength
33,94.3,174.4,104,33.2,104,HIIT
38,59.8,168.2,148,49.4,22,Cardio
28,86.9,182,102,59,102,Cardio
54,64.3,156.5,167,50.3,63,Cardio
53,90.1,171.5,81,59.5,118,Yoga
52,99.9,163.7,158,43,89,Yoga
36,51.5,194.4,92,56.9,33,Strength
37,94.9,152,86,36.2,23,Strength
35,81.1,195.7,99,33.5,37,Strength
58,98.7,191.6,85,51.1,112,Strength
31,73.3,164.9,142,41.1,118,HIIT
32,92.4,189.5,104,39.5,71,Yoga
48,53.1,151.6,162,50.1,57,Cardio
18,66.8,198.3,104,40,99,HIIT
20,53.4,176.3,85,47.2,39,Strength
33,98.8,165.2,129,39,107,Strength
40,90.8,168.1,126,53.5,118,HIIT
28,92.6,153.3,65,39.4,63,Cardio
29,96.9,199.5,87,46,70,Yoga
27,54.3,152,126,30.7,38,Yoga
49,69.3,182.7,72,53.8,87,Cardio
33,53.6,172.1,122,48.6,116,Yoga
25,60.5,197.4,72,35.8,85,Strength
55,61.5,162.3,136,36.5,32,Strength
29,73.5,176.6,60,37.9,81,Strength
41,63.4,174.1,99,47.3,80,Strength
45,55,185.1,96,46.4,49,Cardio
25,58.4,153.4,90,38.2,117,Yoga
45,57.4,159.7,175,50.8,49,Yoga
53,98.7,160.7,76,56.7,70,HIIT
43,88,186.9,68,31.3,107,Cardio
25,98.4,159.5,168,42.5,67,Yoga
45,72,178.7,123,47.8,52,Yoga
