age,height,weight,heart_rate
30,155,93,146
18,183,95,161
38,166,85,153
51,160,115,142
27,177,68,103
51,167,74,147
40,162,80,100
22,157,67,106
43,160,54,102
56,185,97,86
55,192,115,113
34,173,119,160
40,181,91,117
37,190,107,110
41,182,82,144
19,192,68,103
47,156,113,142
27,157,70,90
38,179,81,172
32,178,53,109
53,166,104,130
36,170,84,138
40,152,99,123
56,164,50,116
28,176,71,110
41,153,72,98
23,191,53,122
46,155,63,131
27,196,70,88
58,182,56,115
38,159,108,158
45,177,102,151
23,157,93,146
34,165,74,97
32,173,52,93
58,173,97,118
29,160,52,137
43,196,116,174
44,155,64,164
26,167,94,134
56,184,119,151
38,152,109,90
46,170,102,157
28,154,97,171
23,152,52,163
18,194,50,116
32,181,74,124
19,159,64,92
43,151,76,167
20,174,116,149
22,167,58,92
21,183,106,170
28,189,72,176
40,163,119,164
31,154,64,133
40,165,66,113
46,175,50,80
49,162,115,120
21,190,101,177
19,152,71,134
41,181,94,123
22,166,89,86
41,170,53,93
59,178,75,145
47,184,113,135
54,193,53,155
41,155,116,89
56,166,119,135
18,161,99,174
33,194,98,141
48,179,119,157
49,192,82,137
26,154,116,163
35,171,102,111
46,172,95,95
21,179,62,154
41,171,85,97
28,197,53,146
27,172,112,134
23,191,81,123
45,170,102,149
51,151,84,85
38,190,88,165
39,172,99,102
29,157,60,114
30,195,50,95
26,183,107,155
48,171,87,106
55,184,78,108
29,188,115,124
40,160,118,168
31,189,109,176
50,150,104,176
39,178,61,172
38,180,90,125
54,190,100,145
57,199,107,160
52,168,101,171
44,170,88,123
51,179,60,94
55,188,88,139
18,155,94,109
42,163,63,152
30,166,57,87
34,181,98,123
26,168,108,133
51,188,82,176
38,198,50,81
48,186,64,118
23,171,92,90
32,173,75,112
47,168,53,86
58,186,86,112
45,159,85,142
19,182,93,107
51,160,79,113
58,175,100,135
52,187,75,120
36,180,115,148
47,172,56,178
45,159,74,135
27,155,74,107
51,185,77,128
59,182,69,81
20,188,105,122
41,196,87,101
37,174,56,89
48,190,112,136
50,197,87,148
44,170,84,140
19,190,115,156
21,188,83,139
54,184,115,138
58,165,63,179
36,165,83,122
31,166,79,175
56,177,65,91
26,151,82,90
55,160,62,141
49,152,102,113
33,153,73,118
48,186,73,94
46,156,93,168
59,188,74,110
40,195,88,139
51,163,90,89
49,188,107,106
50,185,100,129
23,185,90,113
23,170,99,81
59,174,86,146
39,174,116,100
39,192,81,133
27,184,93,133
45,181,92,80
35,174,65,148
22,183,70,177
47,187,93,97
29,185,90,164
24,173,117,145
39,189,50,150
26,157,114,152
29,157,73,169
29,173,100,136
21,150,50,179
43,193,66,151
46,172,85,122
48,187,74,153
35,195,70,128
54,183,57,152
32,176,76,174
59,162,90,81
44,156,63,177
58,150,92,174
29,160,88,82
34,176,59,145
56,171,106,120
39,151,98,118
50,161,106,95
20,161,91,138
23,193,78,102
52,187,97,95
34,194,77,168
21,163,104,88
43,197,90,149
20,168,54,136
35,168,50,115
32,157,85,173
53,196,54,104
41,163,118,165
39,192,64,154
54,172,111,147
18,191,52,170
25,176,62,145
38,164,66,141
56,186,63,93
49,167,117,117
47,196,106,91
59,195,109,103
56,178,107,131
32,172,50,144
39,166,92,163
28,164,66,115
48,161,55,156
51,170,73,113
57,195,105,125
58,152,76,176
38,188,88,83
34,164,83,174
51,189,90,130
25,177,105,111
55,184,57,129
24,162,88,116
31,188,92,142
53,175,72,143
44,183,54,98
20,169,79,96
20,179,90,148
34,152,50,164
25,178,118,82
20,178,95,142
52,192,77,151
46,180,66,132
20,187,62,97
54,192,66,135
24,156,84,93
46,164,80,122
28,161,69,111
34,152,101,83
45,199,93,140
33,177,117,110
56,162,74,101
42,169,62,101
52,176,64,133
21,164,73,128
42,157,93,154
21,199,101,81
48,191,50,129
51,181,61,101
19,188,59,82
31,190,109,84
51,182,85,85
41,168,65,162
24,197,117,151
43,190,95,93
27,185,114,121
53,167,70,142
44,193,118,171
55,157,98,114
22,189,89,82
45,162,87,168
33,186,101,85
55,188,90,82
44,176,86,106
30,180,78,90
31,182,115,136
44,181,60,101
54,166,57,152
32,169,79,169
56,192,79,89
29,183,58,114
18,176,60,178
33,158,96,133
48,173,99,105
57,189,85,117
40,190,52,177
52,154,58,108
52,166,59,109
23,167,85,127
50,199,50,123
24,188,82,133
46,161,97,142
42,193,102,171
57,175,51,141
29,198,116,154
36,198,79,171
28,198,111,135
47,160,107,131
31,185,104,156
43,187,100,172
18,168,114,161
29,185,108,147
47,166,65,106
28,184,73,113
18,182,95,99
37,158,51,124
59,172,53,128
21,162,91,160
51,155,100,178
33,164,71,116
37,163,117,123
37,167,90,142
38,150,67,131
19,168,117,151
35,169,109,136
53,165,55,140
31,157,61,165
19,173,75,84
58,176,118,122
52,198,116,100
56,183,76,154
59,164,101,154
31,183,89,94
52,180,92,160
34,184,88,173
35,151,109,176
52,192,105,168
26,191,51,142
34,172,83,127
19,179,119,167
54,180,103,84
27,169,113,167
37,190,85,172
42,154,61,115
47,199,101,176
45,192,112,131
53,189,53,118
57,156,57,139
45,178,68,81
34,157,107,122
29,198,62,103
27,172,65,169
18,168,93,178
36,154,112,96
51,182,63,167
58,195,52,168
19,170,83,103
39,188,54,104
20,161,63,128
49,157,103,179
46,182,73,103
44,150,64,145
56,166,56,157
44,175,96,133
47,187,78,96
35,188,114,97
32,164,97,87
41,165,112,157
22,180,57,119
34,156,73,120
24,172,104,102
18,168,113,140
46,157,54,137
32,172,72,166
20,162,57,105
40,176,58,168
53,192,111,139
44,153,108,84
36,188,81,147
43,157,102,99
39,154,63,161
22,178,57,128
59,156,112,114
29,196,103,88
35,165,53,171
52,195,116,121
20,182,107,125
51,178,109,112
41,183,104,100
35,162,75,104
30,185,56,150
34,152,103,131
20,171,95,169
58,189,111,171
37,197,82,136
46,179,95,123
38,172,112,128
30,183,105,106
32,185,114,86
30,171,107,121
32,180,68,126
57,174,104,86
19,157,94,146
20,188,118,172
55,151,80,156
55,159,69,141
28,187,105,96
54,196,105,102
49,196,78,176
29,178,99,153
18,163,87,83
56,184,90,119
31,186,89,178
23,160,65,167
25,150,79,152
44,197,109,177
51,180,71,117
57,158,77,86
44,162,82,86
56,152,95,157
21,158,53,169
47,192,51,166
53,194,112,99
24,165,83,143
38,165,70,154
25,182,88,115
31,155,80,131
22,184,114,124
30,168,116,105
57,153,115,123
50,191,51,88
50,179,97,151
31,174,63,143
49,168,56,140
48,199,54,120
26,194,104,128
32,164,116,92
49,160,60,159
58,178,96,162
46,165,71,131
24,185,93,175
32,171,93,155
18,155,102,90
44,190,108,151
45,169,56,114
30,154,94,147
51,171,81,96
32,165,89,122
53,169,84,92
33,165,112,173
23,174,98,82
20,182,64,97
39,199,106,141
20,180,113,172
54,187,96,162
57,166,94,172
57,184,96,150
36,165,112,99
45,168,73,175
52,154,55,121
28,158,101,172
40,176,50,91
19,198,71,126
55,151,78,119
50,177,59,134
43,165,79,103
42,177,77,126
55,178,93,100
58,192,71,148
29,199,53,161
58,155,71,148
52,169,80,122
51,191,87,124
53,194,91,109
44,163,117,96
28,175,101,123
18,154,69,121
36,198,65,89
22,185,97,115
23,191,92,138
50,178,117,139
34,175,64,90
30,163,54,89
31,184,99,113
21,193,117,166
19,171,107,114
47,179,104,148
41,188,50,136
29,183,108,114
52,181,75,94
45,178,64,158
31,199,77,154
50,184,118,125
20,157,109,127
20,194,57,158
50,184,50,141
46,175,83,133
19,198,113,163
57,153,103,92
31,165,105,117
24,192,111,126
21,185,112,107
30,151,71,81
35,197,99,81
24,152,62,124
33,190,107,170
29,177,76,110
31,155,91,101
23,177,116,96
53,178,103,104
30,186,59,144
29,169,97,173
29,188,51,86
36,156,86,116
56,161,79,86
29,150,104,117
44,177,110,80
52,173,94,91
22,183,115,166
56,187,70,99
39,164,113,159
29,166,100,103
32,187,90,115
23,184,73,163
56,198,59,143
53,169,62,110
37,185,99,105
56,164,76,95
40,191,92,152
28,173,83,148
47,166,64,121
56,183,78,156
27,177,103,155
56,189,97,108
46,192,100,129
37,165,82,146
32,164,83,137
57,170,54,150
58,166,95,128
53,186,81,130
49,187,51,145
20,172,78,130
27,197,81,93
50,192,114,154
50,178,92,166
25,150,79,131
18,175,115,132
56,197,52,90
58,194,67,118
20,174,70,151
43,178,112,95
29,159,55,97
27,175,99,124
26,188,80,102
29,159,82,156
28,151,58,129
59,166,114,81
59,150,74,177
30,160,85,81
25,166,95,144
27,172,119,150
56,183,53,177
55,191,90,164
21,156,52,123
20,158,76,173
48,157,96,119
25,179,68,146
47,156,119,107
33,168,81,88
51,176,56,88
35,153,105,128
46,190,117,154
46,160,105,112
47,150,95,96
38,153,76,124
32,198,119,135
51,199,60,146
19,184,54,112
19,195,115,173
33,152,73,80
46,187,51,110
22,199,60,91
19,195,100,108
52,197,109,84
37,162,56,135
30,196,74,162
50,197,100,161
29,150,102,85
39,181,62,171
55,183,61,84
41,181,80,164
55,152,71,84
54,196,96,100
32,199,116,144
23,188,91,161
31,182,72,126
42,193,115,116
18,187,78,96
24,152,92,103
54,195,53,135
52,160,91,81
33,195,77,83
25,187,91,125
49,169,95,86
30,188,53,87
43,150,80,84
47,152,96,143
38,152,81,157
48,193,75,171
42,185,69,113
49,164,112,80
27,164,115,142
44,168,60,159
19,150,112,159
52,156,83,136
29,186,83,178
51,192,99,122
30,199,50,95
50,164,68,157
30,168,94,172
57,180,98,104
52,183,87,95
47,190,69,80
19,183,55,98
32,159,115,82
35,195,100,133
34,152,96,164
54,199,79,92
33,199,107,99
33,169,67,178
49,186,106,139
48,152,116,167
40,187,53,138
28,163,117,142
56,174,108,115
46,183,108,91
27,167,51,96
19,171,102,121
56,176,56,137
43,195,64,144
45,160,52,158
39,175,83,127
45,195,77,88
36,189,68,143
30,170,106,119
24,196,90,163
25,150,113,103
25,172,110,94
43,155,113,140
30,160,71,87
29,165,53,93
41,154,80,138
53,188,98,142
43,178,64,141
58,163,91,145
53,169,77,160
55,167,110,103
54,184,109,169
24,189,69,161
58,180,88,155
46,172,113,111
45,185,92,144
57,160,117,139
21,195,111,107
57,196,56,90
34,188,100,113
48,179,101,136
24,167,72,81
42,151,71,153
46,161,83,165
52,170,72,85
45,157,88,178
48,169,94,130
58,162,105,156
54,190,102,135
28,159,63,148
18,188,86,129
37,169,105,126
45,182,56,169
52,189,69,119
26,178,115,178
48,193,88,142
35,154,117,154
38,172,71,158
31,192,68,127
56,161,73,82
38,164,87,88
19,177,115,165
45,168,69,81
58,183,111,96
52,186,110,160
23,195,86,84
25,196,80,129
51,168,104,95
48,160,83,96
20,156,63,132
19,188,91,166
28,191,60,168
18,168,80,175
57,186,83,142
36,151,108,116
54,169,55,122
36,195,74,82
21,189,111,116
38,187,74,91
35,174,119,148
21,160,69,101
31,154,51,106
27,195,106,109
35,167,94,130
47,196,76,114
32,189,94,167
22,177,71,165
28,164,81,148
23,187,61,87
24,162,84,92
38,196,81,177
31,172,52,127
34,150,85,86
51,153,88,170
18,190,113,148
26,157,100,112
55,184,84,125
51,169,94,142
32,188,74,94
57,163,87,145
40,168,101,92
46,176,105,146
25,195,115,154
19,157,69,171
22,160,117,130
58,177,116,161
26,186,70,87
58,195,114,104
42,153,87,170
36,160,76,111
22,152,112,85
45,158,64,114
50,188,85,117
56,151,109,166
48,152,57,82
57,158,96,169
19,196,86,104
53,154,109,100
21,166,76,156
25,187,102,150
39,174,99,169
21,165,101,101
47,183,119,176
19,168,84,82
45,163,75,108
34,175,53,135
43,169,93,93
24,176,83,132
54,159,85,167
43,159,95,120
59,168,57,123
30,188,114,147
24,161,102,142
32,157,69,88
33,193,84,143
48,151,94,114
47,161,66,86
21,188,59,117
19,195,57,132
18,181,94,106
43,166,116,118
30,158,97,157
46,182,112,89
43,162,92,90
46,187,58,130
55,181,91,152
32,189,84,137
22,181,117,172
26,181,113,100
27,154,98,146
20,199,99,170
53,192,77,86
19,171,115,106
46,188,99,103
39,161,61,92
26,185,119,162
45,199,70,176
51,190,99,164
59,175,66,140
33,197,93,83
57,159,81,109
28,189,51,150
19,169,107,168
20,151,93,139
55,152,66,128
34,172,88,103
44,157,114,154
30,166,55,151
19,199,78,165
18,157,95,150
58,155,81,123
56,172,105,166
51,191,52,150
33,181,114,174
18,152,62,152
47,168,60,172
52,156,106,112
27,154,87,96
36,164,75,150
49,165,107,113
28,185,103,111
28,181,53,178
58,190,79,80
50,180,55,144
38,163,107,90
41,156,107,84
32,187,119,137
39,185,85,159
23,160,77,123
23,152,104,147
24,180,61,86
22,154,89,148
50,173,90,89
18,150,111,127
22,179,86,100
50,184,113,90
29,181,75,120
36,164,112,175
55,188,94,110
39,181,119,157
30,159,57,130
34,193,117,151
22,194,57,177
48,187,69,81
33,174,109,152
30,191,94,172
25,176,68,164
28,182,67,125
42,160,91,99
33,185,57,92
44,151,108,102
20,179,104,138
51,189,95,93
41,161,66,141
21,187,88,131
42,192,91,172
38,171,68,126
44,163,52,153
39,157,104,127
34,177,70,145
24,191,72,157
23,185,112,121
43,152,64,159
56,185,81,110
58,190,113,82
58,169,71,123
44,152,118,172
33,161,53,106
55,167,61,113
59,173,84,99
53,195,82,130
39,168,61,107
24,153,92,169
22,172,85,156
58,183,117,116
38,173,114,95
42,199,53,165
52,187,96,129
20,151,105,122
46,199,119,147
24,183,61,130
25,173,94,149
49,170,63,87
37,178,72,102
50,169,107,170
40,164,50,164
26,171,57,158
35,157,76,172
55,175,57,80
59,178,101,162
25,168,78,113
18,190,81,116
48,182,68,119
26,195,81,158
54,172,74,116
56,172,92,103
40,195,58,119
29,191,95,94
55,151,92,119
24,161,116,129
43,165,57,113
37,156,90,90
38,177,87,164
37,184,57,93
24,187,103,109
43,154,103,153
22,159,80,157
23,163,101,151
23,188,71,150
52,164,110,83
29,193,105,151
50,183,102,140
40,172,85,142
24,177,101,86
56,153,90,144
32,187,105,160
58,199,94,145
50,181,111,140
43,153,119,146
41,151,87,158
43,177,61,140
28,150,54,173
32,152,116,157
48,164,78,173
30,160,73,159
47,155,112,119
35,153,99,103
50,168,80,110
48,178,113,85
31,188,85,174
23,186,60,165
49,178,91,157
48,150,55,138
21,188,63,87
56,182,58,135
41,164,86,176
36,160,57,113
53,158,116,84
49,187,75,157
52,196,92,119
57,172,102,160
46,193,55,106
38,155,105,110
43,162,98,163
35,190,86,155
50,194,77,106
55,161,52,126
49,164,84,117
34,189,84,108
22,183,73,142
28,160,69,116
36,176,58,169
47,152,62,117
54,180,101,107
52,159,85,115
47,168,66,103
18,153,62,108
38,178,68,173
21,189,76,139
57,198,117,121
37,161,92,131
54,170,59,177
55,175,99,175
27,173,95,110
42,166,53,160
22,172,108,120
50,159,106,129
46,185,100,123
55,161,78,102
21,164,68,115
48,184,100,161
34,169,116,98
59,161,101,164
47,152,98,121
29,190,82,161
27,193,60,113
30,195,86,89
33,175,77,140
56,180,51,152
37,183,95,128
44,170,85,82
28,194,72,156
57,185,112,136
25,195,93,100
32,170,114,133
55,165,63,165
25,172,88,130
27,190,61,163
21,162,106,108
40,165,68,156
30,199,108,88
26,162,56,106
52,164,90,138
57,164,58,93
21,156,71,171
39,190,104,98
59,157,71,170
31,151,107,133
26,156,106,118
35,163,85,159
19,157,107,86
56,191,67,122
19,199,73,81
30,184,68,100
57,186,60,104
21,182,55,159
39,180,108,105
25,150,50,81
46,175,66,116
43,168,117,93
27,153,53,91
59,198,106,140
26,154,75,167
47,187,102,95
23,198,53,165
43,189,54,160
19,151,52,116
26,190,69,112
20,177,67,93
42,197,96,139
58,160,67,136
35,155,71,93
40,196,106,158
48,151,106,96
24,151,59,154
47,178,50,177
38,180,61,125
29,168,108,149
25,184,101,130
42,172,58,136
22,150,108,85
35,158,72,104
38,188,59,164
29,188,89,160
25,181,113,122
41,162,89,117
21,182,91,139
50,179,55,167
40,150,99,110
31,151,103,123
23,195,51,82
58,151,68,135
42,163,110,110
51,198,93,80
50,198,114,115
56,176,64,109
51,153,94,131
48,186,72,170
29,175,57,90
26,182,64,83
22,188,88,115
31,167,73,96
54,162,89,112
41,165,116,115
59,163,103,163
53,197,95,140
51,160,70,81
36,197,103,135
48,183,89,170
41,154,57,123
46,162,73,143
58,184,118,92
28,155,65,124
22,158,84,142
53,167,85,97
42,152,87,165
24,180,58,176
31,178,110,118
29,160,116,106
35,172,92,97
35,197,57,134
25,178,50,120
18,163,74,116
54,150,102,162
39,174,90,115
56,158,76,170
55,159,52,151
30,196,69,169
44,175,111,134
33,156,66,140
48,170,59,162
34,196,77,162
44,189,115,86
54,170,87,121
50,186,52,174
38,158,56,127
58,176,50,149
56,153,117,140
36,176,105,109
31,175,79,119
31,186,96,132
52,181,65,143
30,199,91,118
25,159,116,145
52,198,91,138
41,172,114,85
47,186,86,112
26,173,113,93
30,197,60,168
54,173,91,175
28,182,95,155
31,186,64,88
26,163,90,84
37,181,59,96
47,186,111,93
39,198,50,84
21,195,90,168
24,171,78,100
54,158,71,148
47,180,51,112
54,177,66,160
41,158,58,88
21,184,57,86
20,173,64,89
42,150,63,139
41,160,87,99
24,174,87,106
25,154,73,116
18,155,116,174
26,176,73,165
20,163,54,84
48,171,85,98
49,162,75,89
50,160,55,163
28,188,56,151
47,153,52,112
32,177,80,87
30,157,66,102
49,168,66,154
35,198,71,111
45,165,116,99
55,188,114,84
52,196,110,149
52,171,82,100
58,165,51,152
28,166,53,93
36,175,101,144
18,179,98,81
54,182,116,173
35,191,90,90
38,181,58,142
21,179,64,87
27,186,76,90
23,195,78,94
27,184,82,123
20,169,61,178
50,154,106,140
19,157,94,135
46,197,83,145
58,198,71,128
36,187,90,168
45,198,87,80
59,159,106,113
26,178,56,179
44,176,80,146
26,179,87,165
52,188,66,116
56,170,92,144
47,163,89,177
39,160,61,103
19,160,96,163
52,186,74,85
19,197,66,104
39,171,70,116
54,183,60,119
32,164,102,140
21,184,108,156
44,189,107,169
30,174,66,157
49,172,73,98
32,168,115,105
55,198,53,111
28,185,92,143
45,180,104,140
48,184,108,166
30,181,60,107
43,172,93,126
40,188,67,88
26,186,76,178
49,168,74,120
37,155,68,114
28,165,83,146
53,163,61,128
28,167,52,96
18,197,66,116
49,171,61,100
26,172,117,142
35,167,90,90
21,155,103,142
23,187,68,166
58,181,90,152
29,165,63,169
20,186,84,134
22,192,80,91
53,191,95,166
37,160,118,125
23,172,57,119
25,178,64,93
55,179,69,146
25,184,68,162
53,165,113,179
54,168,68,151
23,156,109,140
34,157,101,148
57,191,109,98
35,159,51,160
18,182,91,91
24,194,63,164
29,189,58,154
20,153,69,175
27,188,117,170
27,189,75,85
57,190,70,98
50,153,63,120
27,175,69,126
36,185,76,179
51,166,83,179
22,177,108,121
36,162,73,151
48,175,62,109
27,194,95,179
32,155,50,158
33,198,56,103
22,153,89,162
52,175,99,118
51,182,112,85
34,173,83,96
42,185,115,176
58,165,118,149
43,154,70,122
41,174,90,124
31,156,58,163
55,173,56,153
40,174,112,85
53,165,52,85
20,196,112,144
32,178,87,154
39,173,105,144
58,167,81,127
55,197,91,127
42,196,94,176
52,199,119,169
28,173,95,124
21,166,55,177
50,197,54,159
24,187,84,160
56,158,59,116
23,156,78,174
58,190,93,154
39,182,54,150
55,157,66,135
51,181,73,173
22,161,113,88
24,186,69,155
35,182,86,103
20,192,109,81
23,154,61,168
46,153,61,167
54,194,112,173
28,153,59,128
59,158,90,81
26,161,99,176
35,155,103,139
46,193,118,87
56,152,92,134
41,180,65,168
20,195,110,132
50,199,107,178
34,189,98,155
26,167,53,84
24,163,53,98
35,158,117,130
37,175,115,112
50,179,63,153
50,189,80,150
21,176,112,144
49,150,71,130
24,166,58,102
45,158,115,171
59,198,73,171
43,166,69,159
39,189,83,83
50,185,88,173
27,166,78,140
31,184,67,152
59,162,75,83
26,182,83,128
47,166,64,98
20,158,108,174
28,174,63,172
44,181,78,135
39,160,82,162
21,189,75,129
22,167,86,168
48,178,111,172
26,165,75,109
51,180,56,178
29,154,87,170
57,179,69,168
31,174,69,132
42,186,101,116
54,164,97,93
22,174,69,112
38,184,82,178
43,176,65,171
47,184,117,109
48,161,99,178
57,188,114,106
34,173,108,103
41,192,103,80
42,192,65,117
29,168,89,106
55,198,66,174
27,152,62,88
46,194,74,108
58,157,91,89
18,184,52,162
38,158,76,133
31,164,68,155
30,164,89,105
43,172,98,100
58,151,59,106
35,198,98,153
59,169,94,109
35,157,101,125
46,193,57,117
59,172,103,122
27,199,65,172
44,187,76,155
27,198,70,118
39,170,111,144
19,194,68,157
20,190,85,151
18,183,103,127
39,193,104,107
50,199,105,156
59,193,61,87
39,158,60,98
54,190,95,163
32,196,73,112
53,162,67,81
18,179,111,139
34,183,92,118
39,164,50,90
32,192,87,165
33,178,58,86
52,189,119,145
26,165,54,130
18,185,90,151
46,168,77,93
19,176,67,133
58,160,89,83
31,158,80,170
42,197,109,149
29,181,85,160
30,190,65,172
54,168,99,133
54,193,84,123
50,155,108,148
56,172,97,98
22,181,54,102
39,150,53,123
51,164,86,141
48,175,75,134
47,165,70,167
52,190,93,96
19,185,114,116
36,190,98,174
46,156,65,81
50,182,50,160
29,169,114,89
42,191,102,159
53,173,105,95
25,157,84,158
58,193,101,153
22,194,54,175
58,160,51,141
36,199,97,177
21,171,58,98
35,164,62,80
56,150,68,150
23,161,115,175
48,171,70,168
30,190,113,88
19,196,91,91
39,161,110,104
28,198,90,113
20,161,54,162
36,162,113,173
29,199,87,127
45,174,105,105
20,182,84,142
28,191,92,141
54,169,93,127
20,185,74,81
34,174,95,103
35,175,76,113
19,150,60,89
36,184,116,160
28,182,110,165
41,182,101,86
35,180,96,109
25,194,74,153
37,159,62,104
55,154,112,144
52,199,63,82
35,165,100,178
49,167,107,133
58,164,82,171
27,196,117,133
59,160,102,114
26,152,65,177
28,163,52,173
34,169,76,84
48,178,96,167
36,195,106,168
39,153,51,133
37,170,118,170
54,189,96,82
24,198,79,125
52,164,58,174
49,176,68,162
40,183,51,129
53,157,57,94
21,168,74,154
27,199,84,153
54,158,79,124
45,161,52,143
56,160,92,133
59,174,53,132
37,173,81,173
50,191,117,163
36,199,98,163
41,156,117,160
42,170,110,169
53,167,100,147
33,191,96,123
45,159,90,162
43,154,89,87
41,194,90,169
22,154,111,151
32,163,66,167
34,153,81,91
51,158,63,137
45,178,55,119
30,163,54,88
59,150,115,174
47,150,96,132
27,174,57,162
46,194,53,90
23,198,118,80
49,175,51,144
54,174,74,83
39,155,84,103
40,172,62,178
35,181,65,157
54,161,114,82
34,183,81,179
31,167,58,145
48,173,86,158
44,160,110,139
34,151,112,118
26,198,65,123
45,184,112,103
58,151,92,94
26,181,66,148
46,199,52,168
43,174,76,118
54,166,68,118
33,165,64,157
34,174,70,159
48,191,101,80
24,194,114,116
23,151,65,143
26,199,65,81
19,154,79,147
28,163,55,172
52,186,101,172
39,163,83,127
56,163,92,131
50,172,79,158
44,150,101,135
30,164,111,139
58,188,101,154
18,194,55,167
34,167,63,80
52,194,71,106
56,170,61,115
43,166,65,120
45,184,66,160
18,168,59,131
23,169,52,87
53,188,58,86
24,151,112,88
47,153,78,116
58,162,71,148
49,158,107,127
57,194,112,140
22,191,114,89
54,199,86,138
31,155,64,95
50,154,68,87
50,175,110,114
40,197,82,130
49,166,72,96
37,152,52,110
21,163,93,96
51,187,96,112
22,162,63,170
52,180,92,171
46,154,106,129
42,185,50,160
58,153,97,164
33,155,59,106
36,194,112,163
31,165,54,133
40,171,85,93
50,195,81,136
34,153,111,88
18,163,91,167
32,189,52,86
41,181,87,123
25,196,112,157
39,176,73,154
28,173,65,164
49,189,77,179
20,174,72,116
21,182,82,131
27,187,69,101
32,164,106,116
29,179,79,150
26,193,55,153
54,164,94,97
27,187,96,125
52,189,76,176
41,191,108,166
