age,height,weight,heart_rate,vo2_max,resting_heart_rate,steps
59,67.3,172.4,99,38.4,78,19602
23,69.9,180,60,30.7,66,15204
45,63.2,153.6,78,55.8,67,4252
45,60.3,161.3,146,41.3,49,5891
37,74.2,196.6,85,39.9,81,11866
47,63.4,195.4,172,40.4,51,19159
28,64.4,189.1,88,42.5,81,7229
45,82.8,151,118,41.3,70,9553
42,98.4,166.4,122,47,72,2063
56,80.2,181.4,157,32.4,48,3787
50,53.8,163.8,142,59.1,76,14042
18,53.8,195.5,121,58.1,82,10069
44,97.6,181.7,107,58,53,13726
30,64.9,153.6,121,56.4,80,5915
58,54.6,195.5,77,49.8,70,16655
20,80,197.9,125,36.6,55,14644
56,81.2,153.9,86,31.5,64,2092
23,82.4,176.6,65,33,82,12934
25,63.4,165.2,162,39.7,59,3677
44,50.8,169.6,129,45.1,79,5864
26,98.3,159,118,59.8,53,19785
54,62.5,178.9,65,43.1,77,19990
50,83.8,197.9,90,45.7,55,14148
59,85.3,175.2,164,50.9,66,13263
41,80.5,154.1,163,35.4,50,19281
32,65.6,181,153,58,81,17113
49,63.6,167,115,45.9,65,6587
49,79.9,192.8,113,38.3,56,19916
41,93.3,171.7,144,58.1,51,12169
58,97.3,159.6,100,48.8,46,3798
29,55.3,159.6,167,44.5,83,15782
56,57.7,188.4,77,47.4,68,19735
19,97.2,163.3,146,52.4,70,15408
20,86.8,188.4,161,34.6,69,12030
54,94.1,160.3,82,55.9,64,12752
34,60.1,166.1,151,58.8,84,9051
19,79.4,173.3,95,47,46,11855
19,85.1,197.2,84,50.5,79,12589
45,84,196.6,66,55.8,77,13395
40,70.4,160.3,141,41.2,61,14833
54,50.8,167.9,79,59.8,66,2598
49,79.1,157.5,64,50.4,45,16367
50,62.7,175.5,77,42.7,81,18642
18,72.5,173,165,50.3,74,10003
36,97.9,195,163,45.7,50,12097
19,70,196.5,92,33.3,58,15207
43,92,169.2,138,53.9,80,13824
49,59.4,174.6,94,46.9,77,2797
23,83.6,194.8,170,53.9,82,12695
49,98.9,190.3,169,34.6,83,7713
21,55.1,150.2,124,46.2,50,9311
28,50.4,166,122,53,70,7911
34,71.7,171.1,144,59.6,68,5954
55,54.6,161.5,131,56.5,77,11819
41,87.4,160,130,55.9,52,6312
22,95.7,151.9,100,37.4,78,10980
51,71.7,182.2,109,55.1,78,17828
23,62.9,163.1,167,35.1,68,15952
39,71.7,152.6,163,35.9,46,9102
28,86.2,161.5,163,33.3,52,14660
33,50.5,190.1,89,55.7,69,17427
50,79.5,192.6,97,33.2,74,3447
26,80.7,174.2,94,34.1,76,18898
23,81.9,170.8,125,37.4,74,14651
33,62.1,198.9,105,47.2,51,17112
46,85.7,160,67,56.4,68,3951
20,54.6,160.8,161,42.5,53,15827
37,60,164.6,127,46.4,60,10965
53,93.9,158.6,96,35,46,2328
36,86.9,169,144,38,79,10985
43,50.7,195.5,72,34,78,14884
20,62.4,180.8,132,42.3,66,7973
36,60.7,170.6,104,47.7,63,19794
37,63.5,196.7,88,38.5,65,9714
49,62.4,152.4,100,55.4,56,3137
24,53.1,160.5,115,59.4,55,19952
58,72.9,178.3,147,33.6,63,6472
50,86.6,180.8,75,30.5,50,5274
57,80.3,152,71,53.7,58,5273
56,83.6,170.2,125,35.7,77,17151
35,54.1,182.5,121,40.6,82,12155
57,97.6,184.9,78,41.8,57,7362
18,91.9,181.9,89,57.5,70,6636
28,90.3,166,75,49.8,58,7346
45,91.1,154.7,147,31.2,68,19620
42,96.6,171.4,72,30.4,45,12938
40,77.2,156.4,128,36,74,6208
48,60,197.4,82,39.5,54,6468
47,80.8,173.8,121,44.5,54,4346
59,87.1,165.9,179,55.1,72,15984
52,86.9,188.3,161,39.4,48,3042
24,76.1,174.9,90,41.3,58,15063
33,53.4,165.5,112,39.9,56,10199
43,68.6,190.6,179,30.3,82,5731
19,96,193.4,76,58.7,81,11765
18,79.2,183.7,108,34.2,54,9302
29,76.9,152.3,108,38.6,71,18844
22,63.4,178.3,126,33.9,56,18294
54,68.4,188.2,85,44.7,66,4302
49,94.8,156.8,72,58,48,11543
26,83.3,161.4,167,33,73,2361
58,89.4,194.1,97,43.2,80,7493
52,72.7,151,81,30.7,58,19171
36,81.5,187.6,144,53.1,56,18592
33,62.4,173.7,88,49.2,64,10458
20,85.3,172.3,104,51,67,7092
37,71.4,150.4,105,44.2,66,18937
41,72.1,191,98,57.2,78,10025
50,82.5,168,128,42.3,65,15817
41,96.8,177,137,45.4,53,11779
28,53.2,183.9,141,50.9,54,6516
25,91.2,185.1,127,45.6,54,8451
53,64.6,197.8,156,35.7,74,16530
55,72.2,176.6,98,39.5,77,11310
57,51.1,170,79,32.8,46,3513
37,65.1,197.7,136,43,76,15336
52,75.1,182.1,159,48.3,61,13595
42,52.8,164.9,168,33.6,72,8749
52,74.6,156.3,127,48.9,61,9005
42,96.4,192.1,94,56.8,58,6438
46,55.3,168.1,67,40.1,54,14880
35,88.2,183,111,36.7,78,14256
35,70.5,173.5,99,56.8,58,12176
19,82.8,159.9,172,50.8,61,18359
52,63,180.1,170,33.2,81,16412
33,58,153,95,42.2,66,16287
58,58,170.7,65,50.2,62,19589
53,53.5,177.3,179,47.2,79,15044
50,59.3,171.8,145,48.6,62,4435
21,83.2,187.4,129,47,74,13166
50,94.1,191.4,165,53.9,81,5098
31,90.7,188.6,159,39.6,84,5386
38,84.3,151.9,132,51.3,50,7440
37,55.5,159.7,75,59.7,59,14735
25,64.5,176.8,162,41.7,79,12008
24,65.5,196.7,105,53.7,70,8436
20,62.5,191.7,118,37.4,71,9403
34,75.8,192.1,97,38.5,74,12696
50,76.8,165.2,156,58,55,4939
29,67.8,171.5,77,30.8,68,19222
39,67.7,173.5,71,36.5,58,5138
39,91.4,157.9,113,44.5,67,18559
47,89.5,151.6,150,42.1,53,5162
55,65.4,197.3,106,48.9,62,4752
55,95.7,162,60,35.8,83,14889
25,97.6,162,74,32.1,63,2837
44,66.3,154.2,170,41.1,49,14043
44,67.7,196.4,150,45.7,62,17797
51,75.3,179,139,46.9,77,16386
38,97.1,183.4,80,48,82,4733
47,93.8,195.6,60,46.5,57,14002
50,55.1,167.3,152,37.4,53,16601
45,69.6,181.1,126,52.9,70,7206
50,77.7,151.9,71,32.6,45,4653
22,75.2,159.3,87,36,56,5310
36,59.7,191.6,98,52.2,68,6680
21,92.9,188.3,96,38.4,45,7191
52,83.8,167.5,154,44.8,48,18757
34,91.9,168.8,119,39.8,51,6675
45,92.9,176.7,90,45.2,72,14804
47,87.4,150,117,40.4,81,18210
46,72,162.1,156,59.8,49,3261
23,80.5,160.4,156,40.7,83,9633
52,58,162.5,170,48.8,76,10312
58,83.7,190.3,163,56.7,75,7532
54,59,164,70,49.1,59,4884
41,84.7,159.6,169,47,47,12809
46,61.5,175.2,88,47.1,59,7623
48,55.9,193.3,148,44.9,62,13460
52,58.3,162.1,178,54.2,65,12234
50,50.1,153.9,72,31.5,54,18874
38,85.9,167.8,110,56.6,65,16137
49,86.6,187.4,167,47.6,70,5045
40,75.7,177.5,113,55.5,47,2382
50,58.1,190.8,78,30.3,45,19188
20,54.2,198,117,56.1,65,7585
35,51,189.6,95,33.6,55,11369
42,58.3,180.2,87,51.6,60,4217
59,94.5,174.7,127,42.5,79,11487
48,62.1,152,62,50.4,65,14718
20,67.7,199.2,161,48.8,55,17115
57,55.3,169.2,160,34.9,75,2650
41,61.1,157.6,166,45.4,45,10169
49,76,183.3,148,38.3,76,18312
39,80.4,164.2,100,46.8,47,12943
40,62.3,179.3,94,52.1,76,5198
19,52.9,179.3,152,32.4,49,19325
44,69.6,172.3,164,45.5,81,10732
59,61.7,191.8,152,48.5,56,7805
19,61,163.2,135,38.9,58,3202
43,98,172.4,158,58.6,53,19034
34,80.8,176.9,143,45.6,51,5006
57,77.8,183.2,140,35.5,60,10505
50,70.8,189.2,176,33.2,72,11375
26,71.4,169.7,135,46.2,51,15105
56,77,182.3,109,41.3,58,18505
46,84.8,157.5,159,35.8,76,8603
59,85.1,196.6,133,30.9,52,5682
43,58.6,169.2,141,47,71,15460
52,75,186.5,89,48,47,15559
42,70.6,151,131,34.3,71,8864
41,93.5,160.3,164,48.1,74,16234
30,81.6,174.4,174,58.6,78,13889
24,76.6,193.9,136,59.3,70,3729
53,55.8,176.4,154,56.7,81,13747
37,80.3,196.5,129,54.2,84,19502
18,55.9,174.2,113,36.3,66,4168
25,66.9,174.5,130,34.7,76,14413
33,57.1,156,144,43.3,46,16884
31,84.6,190.1,161,48.6,52,14973
29,60.3,162.3,166,55.5,51,9668
40,69.6,195,172,37,63,15260
32,94.8,195.5,110,44.4,77,13308
45,60.2,197.2,87,49.4,46,19434
51,75.4,176,123,43.4,47,10896
19,71,183.9,167,43.6,72,8640
49,50.9,188.9,144,36.8,58,15919
40,89.6,156.6,80,59.6,59,9674
39,53.5,180,147,44.3,65,6721
42,73.7,151.7,86,46,58,3066
39,78,174.9,86,36.6,84,12138
39,81.4,157.7,136,45.4,62,3918
59,84.4,159.1,109,37.7,83,11457
23,62.7,168.3,88,36.1,64,12726
32,50.5,171.6,98,38.3,45,16282
54,86.2,181.2,116,30.1,53,19711
50,76.8,153.7,178,47.1,53,9448
25,91.8,175.2,151,41.6,82,3142
22,91.1,159.1,96,57,83,3415
56,92.2,178.7,152,31.2,73,8374
21,74.3,181.9,123,31.3,59,2760
23,66.7,177.8,107,56.6,64,5642
49,89.6,186.9,81,33.8,82,19936
47,72.6,166.8,159,30.1,74,19246
52,59.2,188.3,89,35.4,70,11347
57,92.7,171.6,87,54.7,50,3328
33,94.1,174.2,82,54.1,83,19413
30,73.3,182.4,156,40.2,61,14063
59,53.8,150.9,63,50,50,5140
47,69.4,182.7,62,45.2,72,19265
36,90.2,180.9,120,57.1,53,10730
34,95.1,165.5,155,31.7,71,16057
36,60.2,154.3,63,54.4,79,5557
45,53.3,154.5,124,35.1,50,15211
43,93.9,196.2,71,41.7,48,16386
54,69.5,184.5,72,35.8,60,11802
43,77.1,156.4,93,51.1,67,5163
40,98.4,167.8,118,50.3,67,6463
26,53.3,179.6,152,46.4,73,6007
29,82.4,191.8,132,50.9,48,6675
18,53.7,152.2,90,49.2,84,16058
18,68.8,161.8,130,53.3,84,18233
51,90.2,194.5,72,37.2,68,6751
49,71.7,150.5,113,42.9,50,8219
42,99.9,160.1,61,34.5,84,17445
57,78,198,92,42.9,50,10418
18,66.1,180.7,109,51.1,58,9735
33,61,163.1,66,50.7,58,10783
56,67.5,153.3,77,51.3,79,16456
22,68.6,151.4,110,39.3,50,15140
39,53.4,162.2,67,49.9,67,12863
46,68.5,194.1,114,41,64,17225
20,73.2,170.8,135,58.3,61,4078
29,86.1,186,102,40.3,64,14142
43,82.8,195.9,118,48.1,50,14073
33,85.4,170.4,89,52.5,84,5321
54,50.4,159.6,118,57.2,72,14337
39,60.9,175.9,68,43.1,57,17061
46,83.1,195.4,151,40.8,73,8011
31,74.2,190.2,127,42.9,64,9087
45,50.3,153.3,98,39.7,61,11996
22,90.2,184.6,140,49.6,79,3730
47,88.6,178.6,70,58,83,16077
22,77.4,195.4,61,33.8,81,8618
29,53.3,156.1,82,46.8,67,8899
33,88.3,176.7,122,56.9,62,3029
43,79.2,194,173,33,80,17128
43,89.1,170.5,81,44.8,64,2411
38,87.6,174.1,120,56,51,3981
56,90.2,153.5,85,57,80,11539
53,75.9,163.9,71,45.4,45,3305
50,57,166.2,91,30.7,81,14478
47,83.6,197.3,68,33.2,79,15246
54,81,164.1,166,47.6,47,6595
40,87.1,173,128,33.7,79,19199
27,58.5,183.6,149,34.5,73,13697
22,59.7,158.1,130,53.2,53,17422
53,94.5,174.3,152,52.5,81,11668
51,87.5,186.9,92,55.3,69,7612
48,95.4,193.3,83,33.2,56,4037
27,87.9,181.3,148,35.9,82,11522
36,79.9,183.5,154,55,51,13998
49,82.7,156.3,152,51.6,51,9086
18,94.5,197.3,128,54.2,48,3149
22,78.9,156.6,97,59.7,75,18390
21,81.6,188.7,168,55.9,83,3436
33,57.8,163.2,70,45.6,54,5250
41,73.7,196.7,91,39.3,67,19078
33,85.8,186,123,47.1,70,16263
19,63.5,187.7,131,49.2,67,6843
45,60.1,161,79,40.1,73,14433
49,65.7,172.2,93,53.1,52,13559
44,62.1,180.9,170,32.8,63,6952
37,60.7,188.5,101,53.4,73,9842
41,71.2,155.2,67,31,50,2025
29,95.4,198.1,125,44.9,73,4153
52,75.4,194.5,80,55.8,68,10019
50,59.4,163.5,138,32.6,54,10523
50,53.8,191.1,129,45.5,58,7161
54,84.8,175.9,64,34.8,50,19028
29,69.1,173.1,177,56.8,48,3852
20,91.1,165.7,177,55,59,9723
18,83,179,126,58,81,17706
50,89.8,186.5,166,56.2,83,12623
57,63.6,170.5,102,52.1,72,5809
27,84.6,181.5,75,35.5,46,3311
46,63.2,185,158,39.1,57,13198
30,97,185.6,132,44.9,46,8238
29,81.8,152.6,94,47.7,76,9788
48,66.2,193,142,53.5,49,8977
19,63.5,172.9,102,36.8,47,8409
52,59.5,163.1,169,33.8,46,4070
40,84.7,162.1,157,44.5,58,4656
34,60.9,174.2,98,34.7,84,6134
43,79.8,194.3,69,50.8,73,5484
25,63.2,168.9,133,47.3,82,18797
46,83.1,187.5,79,52.2,50,12854
43,90.7,154.8,60,31.9,78,16544
27,88.9,173.8,65,58.9,52,14309
43,88,199.6,112,30,46,8148
51,59.4,188.5,105,39.8,70,7791
58,54.4,160.5,125,50.4,61,19303
24,84.9,175.1,97,31.4,68,19290
21,68.4,161.7,92,32.5,75,13858
28,71.6,170.5,126,32.3,60,17002
46,51.6,189,159,47.4,65,6895
53,63,188.6,136,56.9,82,12556
42,51.7,161.4,94,46.7,70,19176
38,94,196.1,138,48.1,61,11919
53,62.2,179.6,104,40.4,48,13419
27,77.9,169,81,30.6,48,14378
54,51.9,175.1,166,30.6,63,5725
26,83.3,180.3,127,56.6,82,13558
41,66.2,178,76,33.1,69,15057
52,94.9,174.3,64,60,52,3360
52,94.4,175.2,144,34.9,62,4048
53,66.3,158.8,116,50.2,62,8252
35,95,190.6,147,58.5,51,13167
56,99.8,177.1,154,40.9,61,2205
49,91.3,156.6,99,52,47,13678
41,92.2,188.3,176,40.5,66,17185
40,62.5,196.6,179,39.1,59,10814
49,78.8,197.4,89,36.1,75,13479
54,53.4,168.5,101,54.6,80,13204
29,54.7,156.8,66,37.7,70,15839
30,99.9,175.9,172,38.5,58,13829
40,66.3,155.6,130,60,61,12892
42,87.4,196.7,150,39.8,53,3871
52,90.3,159.2,147,42.7,51,8934
58,92.9,162.6,78,59.7,71,4335
47,99.9,170.3,100,41.1,72,3725
34,62.1,169.2,179,41,56,11306
37,52,189.7,93,54.8,61,7985
42,70.6,172.8,81,39.4,53,9216
39,56.5,158.5,111,37,52,18544
30,51.1,163.4,174,42.7,71,3425
36,68,175.5,150,51,56,3733
53,89.2,157.4,65,31.3,81,14607
29,78.3,180.6,133,41.2,64,12603
58,65.6,178.3,168,40.4,45,14152
36,82.7,185.7,154,37.3,53,17801
29,61.6,196.9,84,49.6,68,18985
26,50.7,195.6,125,38.7,78,11747
24,88.2,197.3,69,48.2,80,15531
45,81.2,162.2,133,45.1,48,15985
31,88.1,156.6,85,36.5,73,3520
48,51.9,165.1,64,38,67,4390
36,91.9,194.8,145,35.1,79,3117
33,81,198.6,127,31.7,60,9300
22,78.2,193,178,48.6,52,11716
52,81.2,155.5,157,50.2,71,14459
29,93.2,197.4,130,35,83,8141
42,79.3,171.2,109,48.5,56,9939
38,79,150.5,76,59.5,48,6777
53,99.5,172.1,70,32.2,69,13432
40,87.8,152.3,112,44.7,50,16271
33,72.1,177.2,109,52,47,5801
56,85.4,166.9,67,31.4,83,9057
59,69.5,173.7,151,53.3,68,9510
56,61.4,180.7,167,59.4,65,10099
31,79.8,193.4,179,32.7,50,17193
48,96.4,183.1,156,54.7,77,18132
22,96.5,171.7,175,41.4,52,6450
52,67.1,191,121,34.3,77,16549
40,76.4,195.3,148,44.8,47,8960
46,60.6,156,144,32.1,46,18583
28,99.8,176.6,135,45.7,82,8996
35,99.1,164.2,149,30.6,84,16201
29,82.5,152.4,88,51.9,83,7043
26,90.2,183.4,161,44.6,83,9834
27,85.8,193.1,158,43.8,68,11556
34,79.7,158.1,160,35.9,65,3852
55,52.7,190.6,169,40.8,62,18263
24,72.7,192.7,103,35.5,79,14629
30,83.7,195.7,168,52.1,55,3662
57,83.9,163.3,104,36,55,16734
59,68.7,195.2,88,48.5,47,9589
26,97.1,166,172,38.4,67,12650
44,58.4,177.6,147,49.7,45,18596
19,75,152.5,118,46.2,67,6655
22,84.5,152.2,74,42.7,66,10749
46,84.9,186,129,50.2,74,12797
54,82.4,172.2,155,42.5,46,8645
55,63.8,162.8,103,54.6,61,13895
36,57.8,159.5,157,51.9,64,3994
25,81.8,183.5,95,46.2,53,16866
18,80,150,143,56.3,55,17122
39,59,190.3,116,54.9,61,18858
34,85.3,154,176,46,58,10233
24,72.8,159.6,123,32.1,62,12843
42,83.4,169.3,135,47,62,5992
21,91.9,174.2,158,40.7,52,6823
53,58.5,167.7,172,46.2,73,5517
23,51,166,97,49.4,52,4268
48,89,198.2,179,49.3,70,18006
36,80.5,182.1,76,50.2,72,19323
56,85,151.2,86,50.4,52,6438
44,91.9,171.5,76,33.3,64,13501
27,90.1,193.8,122,35.8,52,8298
43,98,165.1,70,48.9,58,15128
36,76.8,154.7,123,42.2,57,13319
56,74.4,187.9,178,52.9,84,16722
20,70.1,180.3,98,33.7,61,6989
30,57.7,178.5,61,35.7,70,8028
45,78.6,152.7,174,46.8,50,15626
37,63.9,157,125,45,61,14325
45,96.1,181.1,113,38,48,10422
25,79.2,160.4,88,42.3,69,12673
58,79.6,175.2,104,31,51,15512
56,67.7,177.2,147,31.1,61,16472
18,52.6,164.2,147,32.8,66,16900
20,51.6,197.4,139,47.3,72,4903
30,71.2,192.1,90,55.9,50,9763
45,54.2,186.1,108,37.8,74,12960
42,80.3,153.9,166,31,54,13084
50,94,155.3,68,51.3,83,12275
55,94.1,174.6,86,55.7,58,4074
23,83,158,115,34.1,66,9825
49,60.6,198.9,164,41.6,70,4065
38,93.1,157.9,137,34.8,54,5208
33,94.3,174.4,104,33.2,46,6674
38,59.8,168.2,148,49.4,47,11094
28,86.9,182,102,59,55,16137
54,64.3,156.5,167,50.3,54,17310
53,90.1,171.5,81,59.5,56,11245
52,99.9,163.7,158,43,58,2122
36,51.5,194.4,92,56.9,74,19340
37,94.9,152,86,36.2,57,19370
35,81.1,195.7,99,33.5,74,11443
58,98.7,191.6,85,51.1,82,6433
31,73.3,164.9,142,41.1,55,2990
32,92.4,189.5,104,39.5,45,7556
48,53.1,151.6,162,50.1,71,16650
18,66.8,198.3,104,40,83,6709
20,53.4,176.3,85,47.2,81,5580
33,98.8,165.2,129,39,53,2871
40,90.8,168.1,126,53.5,70,16592
28,92.6,153.3,65,39.4,69,14922
29,96.9,199.5,87,46,61,12383
27,54.3,152,126,30.7,50,7550
49,69.3,182.7,72,53.8,59,14774
33,53.6,172.1,122,48.6,47,5207
25,60.5,197.4,72,35.8,75,5097
55,61.5,162.3,136,36.5,72,13278
29,73.5,176.6,60,37.9,53,3624
41,63.4,174.1,99,47.3,62,17968
45,55,185.1,96,46.4,84,13149
25,58.4,153.4,90,38.2,76,11717
45,57.4,159.7,175,50.8,63,19866
53,98.7,160.7,76,56.7,49,18642
43,88,186.9,68,31.3,50,15640
25,98.4,159.5,168,42.5,56,18837
45,72,178.7,123,47.8,61,10990
45,63.9,160.8,116,47.6,83,6170
54,89.9,193.1,72,30.6,51,7136
58,66.3,197.1,96,36.3,55,3712
53,65,175.9,73,31.9,78,4002
44,61.6,167.6,134,47.1,46,10151
34,56.5,161.7,84,49.4,58,17670
26,62.8,152.5,154,34.8,62,8254
50,67.8,163.4,137,40,53,12473
37,83.7,182.7,116,39.9,83,17303
30,53.1,176.7,130,54.6,48,15761
45,60.5,197.2,147,35.8,58,10918
46,90.5,169.8,172,46.4,55,3831
30,57.3,184.7,159,53.5,74,3821
52,67.1,174.5,101,54.9,84,3816
23,93.2,175.6,101,50,71,17878
35,57.7,163.4,106,39,73,18475
22,54.1,172.7,175,54.7,76,5432
42,74.2,173.5,103,52.3,74,17482
19,65.1,185.3,100,51.1,70,5679
27,78.2,197,62,32,74,18986
47,90.2,166.5,170,31.3,54,18811
22,56.9,152.1,167,50.9,56,10198
50,79,174.8,149,58.3,77,8263
18,75.3,177.2,170,53.2,78,19757
35,57.2,158.4,149,54.9,62,10832
49,81.2,188,60,46.3,83,13954
28,63.7,199.2,138,39.1,60,7162
38,74.4,197.3,70,50.3,48,5811
43,54.1,159.9,160,51.4,54,5306
42,73,193.8,66,50.3,72,10637
39,65.3,185.2,71,58.4,62,14133
44,91.1,172.7,175,41,53,16218
30,52.8,177,97,31.2,66,10704
50,70.9,192.5,113,57.3,54,17885
51,72.9,174,126,34.8,84,3401
58,86.3,168.7,165,50.9,67,12004
52,78.7,174.7,112,56.2,57,2545
18,83.4,179,149,39.3,68,4533
38,88.9,159.5,177,54.9,57,4009
23,93.1,195,153,40,69,7901
45,65.7,183.7,91,53.8,73,6085
34,76.9,181.7,159,32.1,60,4215
22,92,155,104,49.7,84,18041
48,99.5,180.2,110,50.3,50,17763
22,94.5,156,96,44.7,52,4184
55,68.6,153.9,178,50.6,78,12354
20,59.8,176.4,118,57.7,62,3275
40,74.5,170.1,113,52,76,11504
54,87.1,179.4,77,58.8,54,5523
54,74.6,154.5,60,43.5,78,10707
27,74.2,171.5,176,45.8,67,3019
27,91.9,158.7,80,37.9,63,3049
36,68.1,199.4,87,59.6,64,15381
34,93,178.1,171,31.7,78,4340
