age,height,weight,heart_rate,vo2_max
41,84.7,159.6,169,47
46,61.5,175.2,88,47.1
48,55.9,193.3,148,44.9
52,58.3,162.1,178,54.2
50,50.1,153.9,72,31.5
38,85.9,167.8,110,56.6
49,86.6,187.4,167,47.6
40,75.7,177.5,113,55.5
50,58.1,190.8,78,30.3
20,54.2,198,117,56.1
35,51,189.6,95,33.6
42,58.3,180.2,87,51.6
59,94.5,174.7,127,42.5
48,62.1,152,62,50.4
20,67.7,199.2,161,48.8
57,55.3,169.2,160,34.9
41,61.1,157.6,166,45.4
49,76,183.3,148,38.3
39,80.4,164.2,100,46.8
40,62.3,179.3,94,52.1
19,52.9,179.3,152,32.4
44,69.6,172.3,164,45.5
59,61.7,191.8,152,48.5
19,61,163.2,135,38.9
43,98,172.4,158,58.6
34,80.8,176.9,143,45.6
57,77.8,183.2,140,35.5
50,70.8,189.2,176,33.2
26,71.4,169.7,135,46.2
56,77,182.3,109,41.3
46,84.8,157.5,159,35.8
59,85.1,196.6,133,30.9
43,58.6,169.2,141,47
52,75,186.5,89,48
42,70.6,151,131,34.3
41,93.5,160.3,164,48.1
30,81.6,174.4,174,58.6
24,76.6,193.9,136,59.3
53,55.8,176.4,154,56.7
37,80.3,196.5,129,54.2
18,55.9,174.2,113,36.3
25,66.9,174.5,130,34.7
33,57.1,156,144,43.3
31,84.6,190.1,161,48.6
29,60.3,162.3,166,55.5
40,69.6,195,172,37
32,94.8,195.5,110,44.4
45,60.2,197.2,87,49.4
51,75.4,176,123,43.4
19,71,183.9,167,43.6
49,50.9,188.9,144,36.8
40,89.6,156.6,80,59.6
39,53.5,180,147,44.3
42,73.7,151.7,86,46
39,78,174.9,86,36.6
39,81.4,157.7,136,45.4
59,84.4,159.1,109,37.7
23,62.7,168.3,88,36.1
32,50.5,171.6,98,38.3
54,86.2,181.2,116,30.1
50,76.8,153.7,178,47.1
25,91.8,175.2,151,41.6
22,91.1,159.1,96,57
56,92.2,178.7,152,31.2
21,74.3,181.9,123,31.3
23,66.7,177.8,107,56.6
49,89.6,186.9,81,33.8
47,72.6,166.8,159,30.1
52,59.2,188.3,89,35.4
57,92.7,171.6,87,54.7
33,94.1,174.2,82,54.1
30,73.3,182.4,156,40.2
59,53.8,150.9,63,50
47,69.4,182.7,62,45.2
36,90.2,180.9,120,57.1
34,95.1,165.5,155,31.7
36,60.2,154.3,63,54.4
45,53.3,154.5,124,35.1
43,93.9,196.2,71,41.7
54,69.5,184.5,72,35.8
43,77.1,156.4,93,51.1
40,98.4,167.8,118,50.3
26,53.3,179.6,152,46.4
29,82.4,191.8,132,50.9
18,53.7,152.2,90,49.2
18,68.8,161.8,130,53.3
51,90.2,194.5,72,37.2
49,71.7,150.5,113,42.9
42,99.9,160.1,61,34.5
57,78,198,92,42.9
18,66.1,180.7,109,51.1
33,61,163.1,66,50.7
56,67.5,153.3,77,51.3
22,68.6,151.4,110,39.3
39,53.4,162.2,67,49.9
46,68.5,194.1,114,41
20,73.2,170.8,135,58.3
29,86.1,186,102,40.3
43,82.8,195.9,118,48.1
33,85.4,170.4,89,52.5
54,50.4,159.6,118,57.2
39,60.9,175.9,68,43.1
46,83.1,195.4,151,40.8
31,74.2,190.2,127,42.9
45,50.3,153.3,98,39.7
22,90.2,184.6,140,49.6
47,88.6,178.6,70,58
22,77.4,195.4,61,33.8
29,53.3,156.1,82,46.8
33,88.3,176.7,122,56.9
43,79.2,194,173,33
43,89.1,170.5,81,44.8
38,87.6,174.1,120,56
56,90.2,153.5,85,57
53,75.9,163.9,71,45.4
50,57,166.2,91,30.7
47,83.6,197.3,68,33.2
54,81,164.1,166,47.6
40,87.1,173,128,33.7
27,58.5,183.6,149,34.5
22,59.7,158.1,130,53.2
53,94.5,174.3,152,52.5
51,87.5,186.9,92,55.3
48,95.4,193.3,83,33.2
27,87.9,181.3,148,35.9
36,79.9,183.5,154,55
49,82.7,156.3,152,51.6
18,94.5,197.3,128,54.2
22,78.9,156.6,97,59.7
21,81.6,188.7,168,55.9
33,57.8,163.2,70,45.6
41,73.7,196.7,91,39.3
33,85.8,186,123,47.1
19,63.5,187.7,131,49.2
45,60.1,161,79,40.1
49,65.7,172.2,93,53.1
44,62.1,180.9,170,32.8
37,60.7,188.5,101,53.4
41,71.2,155.2,67,31
29,95.4,198.1,125,44.9
52,75.4,194.5,80,55.8
50,59.4,163.5,138,32.6
50,53.8,191.1,129,45.5
54,84.8,175.9,64,34.8
29,69.1,173.1,177,56.8
20,91.1,165.7,177,55
18,83,179,126,58
50,89.8,186.5,166,56.2
57,63.6,170.5,102,52.1
27,84.6,181.5,75,35.5
46,63.2,185,158,39.1
30,97,185.6,132,44.9
29,81.8,152.6,94,47.7
48,66.2,193,142,53.5
19,63.5,172.9,102,36.8
52,59.5,163.1,169,33.8
40,84.7,162.1,157,44.5
34,60.9,174.2,98,34.7
43,79.8,194.3,69,50.8
25,63.2,168.9,133,47.3
46,83.1,187.5,79,52.2
43,90.7,154.8,60,31.9
27,88.9,173.8,65,58.9
43,88,199.6,112,30
51,59.4,188.5,105,39.8
58,54.4,160.5,125,50.4
24,84.9,175.1,97,31.4
21,68.4,161.7,92,32.5
28,71.6,170.5,126,32.3
46,51.6,189,159,47.4
53,63,188.6,136,56.9
42,51.7,161.4,94,46.7
38,94,196.1,138,48.1
53,62.2,179.6,104,40.4
27,77.9,169,81,30.6
54,51.9,175.1,166,30.6
26,83.3,180.3,127,56.6
41,66.2,178,76,33.1
52,94.9,174.3,64,60
52,94.4,175.2,144,34.9
53,66.3,158.8,116,50.2
35,95,190.6,147,58.5
56,99.8,177.1,154,40.9
49,91.3,156.6,99,52
41,92.2,188.3,176,40.5
40,62.5,196.6,179,39.1
49,78.8,197.4,89,36.1
54,53.4,168.5,101,54.6
29,54.7,156.8,66,37.7
30,99.9,175.9,172,38.5
40,66.3,155.6,130,60
42,87.4,196.7,150,39.8
52,90.3,159.2,147,42.7
58,92.9,162.6,78,59.7
47,99.9,170.3,100,41.1
34,62.1,169.2,179,41
37,52,189.7,93,54.8
42,70.6,172.8,81,39.4
39,56.5,158.5,111,37
30,51.1,163.4,174,42.7
36,68,175.5,150,51
53,89.2,157.4,65,31.3
29,78.3,180.6,133,41.2
58,65.6,178.3,168,40.4
36,82.7,185.7,154,37.3
29,61.6,196.9,84,49.6
26,50.7,195.6,125,38.7
24,88.2,197.3,69,48.2
45,81.2,162.2,133,45.1
31,88.1,156.6,85,36.5
48,51.9,165.1,64,38
36,91.9,194.8,145,35.1
33,81,198.6,127,31.7
22,78.2,193,178,48.6
52,81.2,155.5,157,50.2
29,93.2,197.4,130,35
42,79.3,171.2,109,48.5
38,79,150.5,76,59.5
53,99.5,172.1,70,32.2
40,87.8,152.3,112,44.7
33,72.1,177.2,109,52
56,85.4,166.9,67,31.4
59,69.5,173.7,151,53.3
56,61.4,180.7,167,59.4
31,79.8,193.4,179,32.7
48,96.4,183.1,156,54.7
22,96.5,171.7,175,41.4
52,67.1,191,121,34.3
40,76.4,195.3,148,44.8
46,60.6,156,144,32.1
28,99.8,176.6,135,45.7
35,99.1,164.2,149,30.6
29,82.5,152.4,88,51.9
26,90.2,183.4,161,44.6
27,85.8,193.1,158,43.8
34,79.7,158.1,160,35.9
55,52.7,190.6,169,40.8
24,72.7,192.7,103,35.5
30,83.7,195.7,168,52.1
57,83.9,163.3,104,36
59,68.7,195.2,88,48.5
26,97.1,166,172,38.4
44,58.4,177.6,147,49.7
19,75,152.5,118,46.2
22,84.5,152.2,74,42.7
46,84.9,186,129,50.2
54,82.4,172.2,155,42.5
55,63.8,162.8,103,54.6
36,57.8,159.5,157,51.9
25,81.8,183.5,95,46.2
18,80,150,143,56.3
39,59,190.3,116,54.9
34,85.3,154,176,46
24,72.8,159.6,123,32.1
42,83.4,169.3,135,47
21,91.9,174.2,158,40.7
53,58.5,167.7,172,46.2
23,51,166,97,49.4
48,89,198.2,179,49.3
36,80.5,182.1,76,50.2
56,85,151.2,86,50.4
44,91.9,171.5,76,33.3
27,90.1,193.8,122,35.8
43,98,165.1,70,48.9
36,76.8,154.7,123,42.2
56,74.4,187.9,178,52.9
20,70.1,180.3,98,33.7
30,57.7,178.5,61,35.7
45,78.6,152.7,174,46.8
37,63.9,157,125,45
45,96.1,181.1,113,38
25,79.2,160.4,88,42.3
58,79.6,175.2,104,31
56,67.7,177.2,147,31.1
18,52.6,164.2,147,32.8
20,51.6,197.4,139,47.3
30,71.2,192.1,90,55.9
45,54.2,186.1,108,37.8
42,80.3,153.9,166,31
50,94,155.3,68,51.3
55,94.1,174.6,86,55.7
23,83,158,115,34.1
49,60.6,198.9,164,41.6
38,93.1,157.9,137,34.8
33,94.3,174.4,104,33.2
38,59.8,168.2,148,49.4
28,86.9,182,102,59
54,64.3,156.5,167,50.3
53,90.1,171.5,81,59.5
52,99.9,163.7,158,43
36,51.5,194.4,92,56.9
37,94.9,152,86,36.2
35,81.1,195.7,99,33.5
58,98.7,191.6,85,51.1
31,73.3,164.9,142,41.1
32,92.4,189.5,104,39.5
48,53.1,151.6,162,50.1
18,66.8,198.3,104,40
20,53.4,176.3,85,47.2
33,98.8,165.2,129,39
40,90.8,168.1,126,53.5
28,92.6,153.3,65,39.4
29,96.9,199.5,87,46
27,54.3,152,126,30.7
49,69.3,182.7,72,53.8
33,53.6,172.1,122,48.6
25,60.5,197.4,72,35.8
55,61.5,162.3,136,36.5
29,73.5,176.6,60,37.9
41,63.4,174.1,99,47.3
45,55,185.1,96,46.4
25,58.4,153.4,90,38.2
45,57.4,159.7,175,50.8
53,98.7,160.7,76,56.7
43,88,186.9,68,31.3
25,98.4,159.5,168,42.5
45,72,178.7,123,47.8
45,63.9,160.8,116,47.6
54,89.9,193.1,72,30.6
58,66.3,197.1,96,36.3
53,65,175.9,73,31.9
44,61.6,167.6,134,47.1
34,56.5,161.7,84,49.4
26,62.8,152.5,154,34.8
50,67.8,163.4,137,40
37,83.7,182.7,116,39.9
30,53.1,176.7,130,54.6
45,60.5,197.2,147,35.8
46,90.5,169.8,172,46.4
30,57.3,184.7,159,53.5
52,67.1,174.5,101,54.9
23,93.2,175.6,101,50
35,57.7,163.4,106,39
22,54.1,172.7,175,54.7
42,74.2,173.5,103,52.3
19,65.1,185.3,100,51.1
27,78.2,197,62,32
47,90.2,166.5,170,31.3
22,56.9,152.1,167,50.9
50,79,174.8,149,58.3
18,75.3,177.2,170,53.2
35,57.2,158.4,149,54.9
49,81.2,188,60,46.3
28,63.7,199.2,138,39.1
38,74.4,197.3,70,50.3
43,54.1,159.9,160,51.4
42,73,193.8,66,50.3
39,65.3,185.2,71,58.4
44,91.1,172.7,175,41
30,52.8,177,97,31.2
50,70.9,192.5,113,57.3
51,72.9,174,126,34.8
58,86.3,168.7,165,50.9
52,78.7,174.7,112,56.2
18,83.4,179,149,39.3
38,88.9,159.5,177,54.9
23,93.1,195,153,40
45,65.7,183.7,91,53.8
34,76.9,181.7,159,32.1
22,92,155,104,49.7
48,99.5,180.2,110,50.3
22,94.5,156,96,44.7
55,68.6,153.9,178,50.6
20,59.8,176.4,118,57.7
40,74.5,170.1,113,52
54,87.1,179.4,77,58.8
54,74.6,154.5,60,43.5
27,74.2,171.5,176,45.8
27,91.9,158.7,80,37.9
36,68.1,199.4,87,59.6
34,93,178.1,171,31.7
38,70.3,184.4,75,40.8
31,66.4,166.3,107,38.9
26,72.7,154.7,87,41.6
18,88.1,198.8,81,57.5
30,56.3,164.3,142,41
21,59.8,171.2,171,57.5
18,97.6,182.5,60,42.7
57,58.8,151.2,154,55.6
49,78.4,190.5,175,45.7
51,79,176.8,175,39.3
45,74.5,163.9,101,43.5
48,82.2,153.1,157,42.7
25,61.5,158.1,169,37.8
56,77.6,194.8,163,38.7
43,68.6,184.3,129,35.6
51,83.1,162.5,151,40.1
20,57.1,153.3,62,48.7
29,78.5,184.5,154,41.6
18,59.3,178.6,139,51.4
22,63.9,170.2,140,59.6
47,60.9,168.2,103,41.3
47,59.1,160.8,86,43.9
34,91.3,183.5,110,34.9
40,64.3,198.5,83,41.8
32,96.4,158.8,79,51.8
54,98.5,179.9,91,36.5
38,78.6,171.2,158,35.5
31,57.2,172.3,72,41.3
19,68.7,162.7,171,54.6
28,89.9,191.3,102,48.7
56,68.4,174.3,79,58.7
55,54.4,177.2,171,57.1
51,77.8,165.2,175,34.5
55,92.3,159.1,61,31.3
51,89.8,154.3,127,42
35,58.8,185.7,150,45.7
47,83.6,159.8,119,45.5
32,61,184.5,148,34
44,60.9,169.5,63,33.7
51,93.7,170.8,155,31.4
55,62.5,173.5,76,55.5
50,63.2,168.4,60,58.4
41,50,155,92,33.5
32,93.5,165.5,89,36.4
47,89.6,183.2,64,32.7
59,81.4,183.3,177,56.3
34,87.5,164.3,71,58.8
22,57.6,173,161,37.9
46,72.9,159.7,91,39.1
21,67.6,160.5,97,40.9
27,54.7,151.2,76,45.1
34,74.3,194.8,117,50.5
27,96,160.5,177,45.1
34,52,161.4,168,58.5
37,64.6,164,99,33
41,60.4,156.4,155,54
22,61.9,182,83,40
51,95.4,153.8,71,41.3
23,73.4,156.7,170,51.3
19,73.3,182.2,154,57.9
30,88,167,78,51.5
28,57.7,185.4,88,53.3
40,74.4,177.9,144,52.5
33,71.5,162.8,149,39.6
48,79.8,182.5,111,52.7
28,100,155.8,151,53.5
33,88.5,176.8,76,46
25,69.9,171.9,132,46.1
21,91.4,163.4,80,52.8
57,58.5,180.2,173,54.5
21,51.5,193.6,119,40.1
42,60.2,199.9,157,54
20,67,180.4,134,54.4
49,75.5,170.2,178,37
20,80.8,161.3,79,51.5
44,95.5,162.9,172,35.6
46,75.5,174,112,32.8
49,75.1,168.4,173,47.2
36,52.5,195.7,170,57.3
38,51.7,168.4,162,31.1
22,77.6,168.7,139,54.8
35,71.9,169.2,122,45.2
45,92,191.8,116,55.8
59,58,182.5,88,55.3
39,51.2,180.7,60,56.3
38,72.5,166.7,141,53.1
23,61.9,190.9,118,55.3
18,52.5,151.9,123,35.3
22,86.2,193.5,145,39.1
58,55.6,175.6,131,37.3
29,80.4,169.9,130,52.3
43,64.1,174.9,148,34.6
51,58.7,183.4,153,35.5
31,69,150.6,157,56.4
43,90.1,193.6,103,51.2
44,69.6,172.3,107,56.3
26,87.5,167.1,164,34.2
43,56.3,156.9,175,42
39,88.6,172,134,38.5
47,61.8,174.8,74,30.3
34,83.9,170.2,94,38.5
43,78.3,183.9,82,41.4
53,96.5,171,112,32.8
18,69.4,198.1,104,47
25,53.3,180,144,41.5
52,51,190.4,151,31.4
32,91.3,155.5,72,51.1
39,76.2,169.9,93,51.9
31,88.8,166.8,97,55
43,61.7,178.5,129,44.6
45,67.3,193.1,167,59.1
40,51.5,153.9,127,57.4
31,98.1,153.6,64,46.5
41,83.4,192.5,178,43.3
19,96.7,160.6,99,30.1
43,63.3,183.4,129,51.3
31,80.6,177.1,80,46.9
24,83.9,191.6,87,58.1
20,65.9,156.3,62,47.8
40,92.4,156.5,82,59.8
35,97.4,177.8,131,55.6
55,94.2,197.3,78,58.6
52,87,170.7,176,39.8
32,63.9,166.3,134,34.5
42,64.1,180.3,109,53.9
54,98.2,196.5,133,53.6
45,50.5,191.8,117,36.3
27,85.8,199.8,151,52.9
56,85.3,151.1,79,47.5
34,81.1,155.6,167,33.3
56,99.5,180.5,175,45.1
39,65.6,191,151,57.9
43,67,164.3,152,45.2
42,53.9,162,131,53.7
34,72.1,189.3,142,30.9
30,63.1,152.8,112,51.8
37,67.2,168.5,171,58.4
42,91.7,175.3,144,45
21,96.8,178,141,40.1
27,59.3,186.4,68,49.4
20,68.6,167.7,63,57.5
58,96.4,180.6,100,35.3
35,53.1,179.3,84,42.1
53,54.6,177.4,93,34.7
39,58.1,182,132,44.9
51,79.8,163,68,46.2
25,57.5,154.2,141,58.3
57,98.4,156,134,42.4
36,72.3,161.2,72,47
59,75.1,175,161,56.6
58,62.3,192,68,39.6
54,73.5,185.1,139,50.2
23,83.1,189.5,63,52.7
43,87.6,167.5,93,39.9
51,87.7,170.2,66,34.9
23,78.9,169.7,74,45.1
54,95.2,159.6,97,40.7
50,90.9,153.1,134,38
39,87.9,179.5,155,59.2
38,52.8,199.5,150,45.1
23,50.3,158.3,153,55.7
23,60.6,152.3,111,35.9
21,83.2,189,140,58.2
47,70.6,162.6,159,53.8
28,70.1,191.5,142,54.3
47,94.2,185.2,66,41.7
48,94.8,197.3,166,44.6
41,95.5,170.4,104,47.8
26,65.7,183.1,118,53.7
20,84.6,173.2,80,55.5
48,63.6,181.5,87,32.3
57,59.5,172.5,62,57.1
54,59.2,159.4,73,58.1
53,67.1,175.4,61,47.8
41,71.5,176.4,88,35.6
48,91.5,190.5,77,54.6
23,56,186.8,96,46.5
19,86.7,183.2,104,54.5
37,76.6,155.7,104,54.4
45,64.4,186,83,32.6
28,74.6,175,179,48.2
21,65,194.7,105,44.5
32,79.8,196,71,58.4
23,71.7,152.8,112,38.9
47,58.2,191,104,36.2
55,55.8,151.9,91,56.9
19,77.3,168.4,77,34.5
32,95.1,177.1,72,50.6
28,67.2,157.4,63,39
25,86.7,187.3,82,47
43,82.9,150.4,121,48.5
22,96.6,158.4,113,42.5
23,91,179,133,59.2
43,78.3,185.7,114,34
21,82.9,195.8,128,41.7
36,94.9,185.3,173,42.9
37,70,183.6,99,48.9
50,66.3,169.7,73,42.2
37,50.5,150.1,157,32.9
29,91.3,156,87,58.4
18,90,176.7,131,42.5
43,55.2,183.8,139,40.3
31,78.8,170.9,154,43.4
55,73.2,186.5,130,36.5
54,55.9,176.1,126,33
28,99,153.7,88,34.5
53,60.7,159.6,159,35
30,53.4,192,120,35.9
20,79.7,186.2,162,42.6
50,86.9,194.7,127,48.7
23,51.6,155.9,68,48.9
27,82.9,199.5,178,30
22,76.6,160.5,76,57.6
40,55.2,150.6,108,54.7
27,58.6,199.9,122,58.9
19,78.4,164.1,143,40.8
30,64.8,183.4,137,49.9
57,96.9,158.8,105,35
19,90.9,179,152,54.5
37,99.2,195.2,72,34.8
18,63,166,159,39.8
54,98.5,183.5,104,44.7
26,71.6,159.4,112,47.8
34,67.4,181.2,76,46.8
